motor,controller,trial_seed,trial_class,candidate,file,contact_t,contact_phase,contact_z,contact_vz,summary_vertical_speed_mps,min_z_before_contact,max_z_before_contact,min_vz_before_contact,max_vz_before_contact,rows_before_contact
3,cem,39980011,near_zero,opp_m1_13000,qp_event_allocator_m3_eta0p496_seededfine_cem_m3_eta0p496_seed39980011.csv,9.951207160949709,fault_event,0.0126920845359563,-0.0005263276398181,0.0005263276398181,0.0126920845359563,0.0126920845359563,-0.0005263276398181,-0.0005263276398181,1
3,cem,39980022,near_zero,opp_m1_13000,qp_event_allocator_m3_eta0p496_seededfine_cem_m3_eta0p496_seed39980022.csv,10.22544264793396,fault_event,0.012683305889368,-0.0005219430313445,0.0005219430313445,0.012683305889368,0.012683305889368,-0.0005219430313445,-0.0005219430313445,1
1,qplite,14980005,near_zero,opp_m3_11000,qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980005.csv,10.02433156967163,fault_event,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,qplite,14980010,near_zero,opp_m3_11000,qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980010.csv,10.007991552352903,fault_event,0.0126768387854099,-0.0004909329582005,0.0004909329582005,0.0126768387854099,0.0126768387854099,-0.0004909329582005,-0.0004909329582005,1
1,qplite,14980026,near_zero,opp_m3_11000,qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980026.csv,10.20531725883484,fault_event,0.0126881534233689,-0.0005409577279351,0.0005409577279351,0.0126881534233689,0.0126881534233689,-0.0005409577279351,-0.0005409577279351,1
3,qplite,34980012,near_zero,opp_m1_13000,qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980012.csv,9.7851984500885,fault_event,0.0126590775325894,-0.0002330732240807,0.0002330732240807,0.0126590775325894,0.0126590775325894,-0.0002330732240807,-0.0002330732240807,1
1,qplite,14980023,normal_unsafe,opp_m3_10000,qp_event_allocator_m1_eta0p496_seededfine_qplite_m1_eta0p496_seed14980023.csv,12.644333124160768,adaptive_brake,0.0237352158874273,-0.36874520778656,0.36874520778656,0.0237352158874273,0.7208976745605469,-0.36874520778656,-0.0041451756842434,415
1,cem,19980020,normal_safe,opp_m3_12000,qp_event_allocator_m1_eta0p496_seededfine_cem_m1_eta0p496_seed19980020.csv,13.386849403381348,adaptive_brake,0.0251055266708135,-0.3346583545207977,0.3346583545207977,0.0251055266708135,0.7177340388298035,-0.3346583545207977,-0.0038195010274648,472
3,qplite,34980007,normal_safe,opp_m1_12000,qp_event_allocator_m3_eta0p496_seededfine_qplite_m3_eta0p496_seed34980007.csv,13.065629720687866,adaptive_brake,0.0273449104279279,-0.3378934860229492,0.3378934860229492,0.0273449104279279,0.7054265737533569,-0.3378934860229492,-0.0035593819338828,436
3,cem,39980029,normal_safe,opp_m1_13000,qp_event_allocator_m3_eta0p496_seededfine_cem_m3_eta0p496_seed39980029.csv,13.185370922088625,adaptive_brake,0.025574080646038,-0.3294655978679657,0.3294655978679657,0.025574080646038,0.6939356327056885,-0.3294655978679657,-0.0035066530108451,454
4,qplite,44980019,normal_unsafe,opp_m2_10000,qp_event_allocator_m4_eta0p496_seededfine_qplite_m4_eta0p496_seed44980019.csv,13.444246768951416,adaptive_brake,0.0261444151401519,-0.3629785478115082,0.3629785478115082,0.0261444151401519,0.7261355519294739,-0.3629785478115082,-0.0037941494956612,484
4,cem,49980017,normal_safe,opp_m2_12000,qp_event_allocator_m4_eta0p496_seededfine_cem_m4_eta0p496_seed49980017.csv,13.84560251235962,adaptive_brake,0.0245423913002014,-0.3398401141166687,0.3398401141166687,0.0245423913002014,0.7274965643882751,-0.3398401141166687,-0.0039911121129989,565
