condition_id,controller,motor,eta,expected_candidate,expected_r1,expected_r2,expected_r3,expected_r4,trial_index,trial_seed,protocol_id
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,1,63000001,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,2,63000002,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,3,63000003,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,4,63000004,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,5,63000005,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,6,63000006,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,7,63000007,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,8,63000008,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,9,63000009,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,10,63000010,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,11,63000011,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,12,63000012,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,13,63000013,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,14,63000014,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,15,63000015,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,16,63000016,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,17,63000017,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,18,63000018,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,19,63000019,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,20,63000020,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,21,63000021,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,22,63000022,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,23,63000023,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,24,63000024,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,25,63000025,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,26,63000026,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,27,63000027,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,28,63000028,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,29,63000029,seeded_ic_v1
fixed_balanced1000,manual,2,0.499675,balanced_1000_0_1000_12000,1000,0,1000,12000,30,63000030,seeded_ic_v1
