controller,motor,eta,n_expected,n_present,valid_prefault_count,contact_count,safe_count,safe_rate,wilson95_lower,wilson95_upper,mean_vertical_speed_mps,max_vertical_speed_mps
cem,2,0.496000,12,12,12,12,0,0.0,0.0,0.2425007574992425,0.36167752742767334,0.3741788864135742
cem,2,0.497000,12,12,12,12,0,0.0,0.0,0.2425007574992425,0.3326123158137004,0.34555938839912415
cem,2,0.498000,12,12,12,12,0,0.0,0.0,0.2425007574992425,0.29369467000166577,0.30941012501716614
cem,2,0.499000,12,12,12,12,0,0.0,0.0,0.2425007574992425,0.25562934453288716,0.27089545130729675
cem,2,0.500000,12,12,12,12,12,1.0,0.7574992425007574,1.0,0.1756002170344194,0.2128756195306778
cem,2,0.502000,12,12,12,12,12,1.0,0.7574992425007574,1.0,0.0862903439750274,0.09520718455314636
pinv,2,0.486000,12,12,12,12,0,0.0,0.0,0.2425007574992425,0.6658959140380224,0.6740458011627197
pinv,2,0.488000,12,12,12,12,0,0.0,0.0,0.2425007574992425,0.6094401528437933,0.6234138011932373
pinv,2,0.490000,12,12,12,12,0,0.0,0.0,0.2425007574992425,0.5449596494436264,0.5583738684654236
pinv,2,0.492000,12,12,12,12,0,0.0,0.0,0.2425007574992425,0.4857831845680873,0.497146874666214
pinv,2,0.494000,12,12,12,12,0,0.0,0.0,0.2425007574992425,0.4113910223046939,0.4209491014480591
pinv,2,0.496000,12,12,12,12,12,1.0,0.7574992425007574,1.0,0.3285496135552724,0.3356979787349701
