controller,motor,eta,selected_candidate,r1,r2,r3,r4,n,safe_count,safe_rate,mean_vertical_speed_mps,mean_angular_rate_radps,max_angular_rate_radps
cem,2,0.496000,balanced_3000_0_3000_12000,3000,0,3000,12000,12,0,0.0,0.36167752742767334,1.5594051402059954,1.5765909852901783
cem,2,0.497000,balanced_3000_0_3000_12000,3000,0,3000,12000,12,0,0.0,0.3326123158137004,1.5559152605720814,1.5931066266247946
cem,2,0.498000,balanced_2000_0_2000_12000,2000,0,2000,12000,12,0,0.0,0.29369467000166577,1.549865562725201,1.5789276492515458
cem,2,0.499000,balanced_2000_0_2000_12000,2000,0,2000,12000,12,0,0.0,0.25562934453288716,1.5489815130408089,1.5814506575789626
cem,2,0.500000,opp_m4_10000,0,0,0,10000,12,12,1.0,0.1756002170344194,1.4302302493674608,1.461354171847417
cem,2,0.502000,opp_m4_10000,0,0,0,10000,12,12,1.0,0.0862903439750274,1.4278772976685516,1.4361842183667366
pinv,2,0.486000,bounded_fault_aware_wls,0,0,0,0,12,0,0.0,0.6658959140380224,0.6759289154707119,0.6860530072589947
pinv,2,0.488000,bounded_fault_aware_wls,0,0,0,0,12,0,0.0,0.6094401528437933,0.6141275843677093,0.6263495320804733
pinv,2,0.490000,bounded_fault_aware_wls,0,0,0,0,12,0,0.0,0.5449596494436264,0.5404608996778943,0.5474145865509209
pinv,2,0.492000,bounded_fault_aware_wls,0,0,0,0,12,0,0.0,0.4857831845680873,0.4715730693105583,0.48046777916146993
pinv,2,0.494000,bounded_fault_aware_wls,0,0,0,0,12,0,0.0,0.4113910223046939,0.394978560268975,0.4047273559986519
pinv,2,0.496000,bounded_fault_aware_wls,0,0,0,0,12,12,1.0,0.3285496135552724,0.29833170039471946,0.30793638561515174
