controller,motor,eta,n,safe_count,safe_rate,vertical_fail,horizontal_fail,tilt_fail,angular_fail,drift_fail,mean_vertical_speed_mps,min_vertical_speed_mps,max_vertical_speed_mps,mean_angular_rate_radps,min_angular_rate_radps,max_angular_rate_radps
cem,2,0.496000,12,0,0.0,10,0,0,12,0,0.36167752742767334,0.3346165716648102,0.3741788864135742,1.5594051402059954,1.5353678783389972,1.5765909852901783
cem,2,0.497000,12,0,0.0,0,0,0,12,0,0.3326123158137004,0.3234013319015503,0.34555938839912415,1.5559152605720814,1.5337591638259638,1.5931066266247946
cem,2,0.498000,12,0,0.0,0,0,0,12,0,0.29369467000166577,0.2855132818222046,0.30941012501716614,1.549865562725201,1.5182517473746986,1.5789276492515458
cem,2,0.499000,12,0,0.0,0,0,0,12,0,0.25562934453288716,0.2471914142370224,0.27089545130729675,1.5489815130408089,1.5213827866060854,1.5814506575789626
cem,2,0.500000,12,12,1.0,0,0,0,0,0,0.1756002170344194,0.12189574539661407,0.2128756195306778,1.4302302493674608,1.2986541059822243,1.461354171847417
cem,2,0.502000,12,12,1.0,0,0,0,0,0,0.0862903439750274,0.08359450846910477,0.09520718455314636,1.4278772976685516,1.4104216043931297,1.4361842183667366
pinv,2,0.486000,12,0,0.0,12,0,0,0,0,0.6658959140380224,0.6586361527442932,0.6740458011627197,0.6759289154707119,0.6626976743167312,0.6860530072589947
pinv,2,0.488000,12,0,0.0,12,0,0,0,0,0.6094401528437933,0.6029642820358276,0.6234138011932373,0.6141275843677093,0.6020590111101337,0.6263495320804733
pinv,2,0.490000,12,0,0.0,12,0,0,0,0,0.5449596494436264,0.5340088605880737,0.5583738684654236,0.5404608996778943,0.5335673357197128,0.5474145865509209
pinv,2,0.492000,12,0,0.0,12,0,0,0,0,0.4857831845680873,0.474263072013855,0.497146874666214,0.4715730693105583,0.461084533231517,0.48046777916146993
pinv,2,0.494000,12,0,0.0,12,0,0,0,0,0.4113910223046939,0.4003143608570099,0.4209491014480591,0.394978560268975,0.38882275943250966,0.4047273559986519
pinv,2,0.496000,12,12,1.0,0,0,0,0,0,0.3285496135552724,0.31808969378471375,0.3356979787349701,0.29833170039471946,0.29082713351547756,0.30793638561515174
