condition_id,controller,motor,eta,eta_index,rep,trial_seed,protocol_id
pinv_eta_0p49520,pinv,2,0.49520,1,1,63100001,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,2,63100002,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,3,63100003,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,4,63100004,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,5,63100005,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,6,63100006,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,7,63100007,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,8,63100008,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,9,63100009,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,10,63100010,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,11,63100011,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,12,63100012,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,13,63100013,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,14,63100014,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,15,63100015,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,16,63100016,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,17,63100017,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,18,63100018,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,19,63100019,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,20,63100020,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,21,63100021,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,22,63100022,seeded_ic_v1
pinv_eta_0p49520,pinv,2,0.49520,1,23,63100023,seeded_ic_v1
