condition_id,parameter,factor,controller,n_expected,n_present,valid_prefault_count,contact_count,safe_count,safe_rate,vertical_fail,horizontal_fail,tilt_fail,angular_fail,drift_fail,mean_vertical_speed_mps,mean_angular_rate_radps
nominal,nominal,1.00,pinv,30,30,30,30,30,1.0,0,0,0,0,0,0.3291944523652395,0.2985455435831627
nominal,nominal,1.00,cem,30,30,30,30,0,0.0,26,0,0,30,0,0.3581459333499273,1.5649918605933781
mass_minus10,mass,0.90,pinv,30,30,30,30,30,1.0,0,0,0,0,0,0.08156492163737615,0.001975180035700259
mass_minus10,mass,0.90,cem,30,30,30,30,27,0.9,0,0,0,3,0,0.08294322565197945,1.4800934361450984
mass_plus10,mass,1.10,pinv,30,30,30,30,0,0.0,30,0,0,5,0,1.2870622952779134,1.4916217819040352
mass_plus10,mass,1.10,cem,30,30,30,30,0,0.0,30,0,0,30,0,1.1132462859153747,1.6404591800427566
thrust_coefficient_minus10,thrust_coefficient,0.90,pinv,30,30,30,30,0,0.0,30,0,0,10,0,1.3842120011647543,1.499186719860204
thrust_coefficient_minus10,thrust_coefficient,0.90,cem,30,30,30,30,0,0.0,30,0,0,30,0,1.154239575068156,1.6372187658521158
thrust_coefficient_plus10,thrust_coefficient,1.10,pinv,30,30,30,30,30,1.0,0,0,0,0,0,0.08173424303531647,0.0018677932446312395
thrust_coefficient_plus10,thrust_coefficient,1.10,cem,30,30,30,30,18,0.6,0,0,0,12,0,0.08291165505846342,1.4938866415445329
motor_time_constant_minus10,motor_time_constant,0.90,pinv,30,30,30,30,30,1.0,0,0,0,0,0,0.32979917724927266,0.2975445665828805
motor_time_constant_minus10,motor_time_constant,0.90,cem,30,30,30,30,0,0.0,29,0,0,30,0,0.3612582892179489,1.5611358977979988
motor_time_constant_plus10,motor_time_constant,1.10,pinv,30,30,30,30,30,1.0,0,0,0,0,0,0.33008952538172404,0.2983952383488905
motor_time_constant_plus10,motor_time_constant,1.10,cem,30,30,30,30,0,0.0,28,0,0,30,0,0.36319778362909955,1.556810052351995
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,pinv,30,30,30,30,30,1.0,0,0,0,0,0,0.33213972449302676,0.2892254815065291
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,cem,30,30,30,30,0,0.0,28,0,0,30,0,0.3643878847360611,1.5428148621550803
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,pinv,30,30,30,30,30,1.0,0,0,0,0,0,0.3304968406756719,0.3084749781455616
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,cem,30,30,30,30,0,0.0,23,0,0,29,0,0.35744500160217285,1.5635715606632405
arm_length_minus10,arm_length,0.90,pinv,30,30,30,30,30,1.0,0,0,0,0,0,0.33311372697353364,0.30621952648261086
arm_length_minus10,arm_length,0.90,cem,30,30,30,30,0,0.0,30,0,0,30,0,0.38308230638504026,1.561365212071323
arm_length_plus10,arm_length,1.10,pinv,30,30,30,30,30,1.0,0,0,0,0,0,0.32802387575308484,0.2870107949212277
arm_length_plus10,arm_length,1.10,cem,30,30,30,30,0,0.0,24,0,0,30,0,0.35428318977355955,1.5513421285499986
