condition_index,condition_id,parameter,factor,plant_sha256,controller,controller_order,motor,eta,rep,trial_seed,protocol_id,experiment_protocol_id,tag
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,1,2,0.496000,1,63400001,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400001
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,2,2,0.496000,1,63400001,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400001
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,1,2,0.496000,2,63400002,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400002
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,2,2,0.496000,2,63400002,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400002
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,1,2,0.496000,3,63400003,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400003
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,2,2,0.496000,3,63400003,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400003
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,1,2,0.496000,4,63400004,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400004
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,2,2,0.496000,4,63400004,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400004
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,pinv,1,2,0.496000,5,63400005,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_pinv_eta0p496_seed63400005
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,2,2,0.496000,5,63400005,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400005
1,nominal,nominal,1.00,849b83459d1c2d9ea365d7e743ed7fe5a00151aa39505ec9f6294777881dfee9,cem,1,2,0.496000,6,63400006,seeded_ic_v1,m2_routing_stability_eta0p496_v1,m2route_nominal_cem_eta0p496_seed63400006
