round,condition_index,condition_id,parameter,factor,bracket_low,bracket_high,controller,motor,eta,rep,trial_seed,protocol_id,ofat_protocol_id
3,1,mass_minus10,mass,0.90,0.437500,0.450000,pinv,2,0.443750,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,1,mass_minus10,mass,0.90,0.437500,0.450000,pinv,2,0.443750,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,1,mass_minus10,mass,0.90,0.437500,0.450000,pinv,2,0.443750,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,1,mass_minus10,mass,0.90,0.437500,0.450000,pinv,2,0.443750,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,1,mass_minus10,mass,0.90,0.437500,0.450000,pinv,2,0.443750,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,2,mass_plus10,mass,1.10,0.537500,0.550000,pinv,2,0.543750,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,2,mass_plus10,mass,1.10,0.537500,0.550000,pinv,2,0.543750,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,2,mass_plus10,mass,1.10,0.537500,0.550000,pinv,2,0.543750,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,2,mass_plus10,mass,1.10,0.537500,0.550000,pinv,2,0.543750,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,2,mass_plus10,mass,1.10,0.537500,0.550000,pinv,2,0.543750,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,3,thrust_coefficient_minus10,thrust_coefficient,0.90,0.550000,0.562500,pinv,2,0.556250,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,3,thrust_coefficient_minus10,thrust_coefficient,0.90,0.550000,0.562500,pinv,2,0.556250,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,3,thrust_coefficient_minus10,thrust_coefficient,0.90,0.550000,0.562500,pinv,2,0.556250,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,3,thrust_coefficient_minus10,thrust_coefficient,0.90,0.550000,0.562500,pinv,2,0.556250,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,3,thrust_coefficient_minus10,thrust_coefficient,0.90,0.550000,0.562500,pinv,2,0.556250,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,4,thrust_coefficient_plus10,thrust_coefficient,1.10,0.450000,0.462500,pinv,2,0.456250,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,4,thrust_coefficient_plus10,thrust_coefficient,1.10,0.450000,0.462500,pinv,2,0.456250,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,4,thrust_coefficient_plus10,thrust_coefficient,1.10,0.450000,0.462500,pinv,2,0.456250,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,4,thrust_coefficient_plus10,thrust_coefficient,1.10,0.450000,0.462500,pinv,2,0.456250,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,4,thrust_coefficient_plus10,thrust_coefficient,1.10,0.450000,0.462500,pinv,2,0.456250,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,5,motor_time_constant_minus10,motor_time_constant,0.90,0.487500,0.500000,pinv,2,0.493750,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,5,motor_time_constant_minus10,motor_time_constant,0.90,0.487500,0.500000,pinv,2,0.493750,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,5,motor_time_constant_minus10,motor_time_constant,0.90,0.487500,0.500000,pinv,2,0.493750,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,5,motor_time_constant_minus10,motor_time_constant,0.90,0.487500,0.500000,pinv,2,0.493750,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,5,motor_time_constant_minus10,motor_time_constant,0.90,0.487500,0.500000,pinv,2,0.493750,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,6,motor_time_constant_plus10,motor_time_constant,1.10,0.487500,0.500000,pinv,2,0.493750,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,6,motor_time_constant_plus10,motor_time_constant,1.10,0.487500,0.500000,pinv,2,0.493750,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,6,motor_time_constant_plus10,motor_time_constant,1.10,0.487500,0.500000,pinv,2,0.493750,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,6,motor_time_constant_plus10,motor_time_constant,1.10,0.487500,0.500000,pinv,2,0.493750,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,6,motor_time_constant_plus10,motor_time_constant,1.10,0.487500,0.500000,pinv,2,0.493750,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,7,thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,0.487500,0.500000,pinv,2,0.493750,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,7,thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,0.487500,0.500000,pinv,2,0.493750,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,7,thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,0.487500,0.500000,pinv,2,0.493750,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,7,thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,0.487500,0.500000,pinv,2,0.493750,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,7,thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,0.487500,0.500000,pinv,2,0.493750,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,8,thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,0.487500,0.500000,pinv,2,0.493750,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,8,thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,0.487500,0.500000,pinv,2,0.493750,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,8,thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,0.487500,0.500000,pinv,2,0.493750,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,8,thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,0.487500,0.500000,pinv,2,0.493750,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,8,thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,0.487500,0.500000,pinv,2,0.493750,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,9,arm_length_minus10,arm_length,0.90,0.487500,0.500000,pinv,2,0.493750,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,9,arm_length_minus10,arm_length,0.90,0.487500,0.500000,pinv,2,0.493750,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,9,arm_length_minus10,arm_length,0.90,0.487500,0.500000,pinv,2,0.493750,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,9,arm_length_minus10,arm_length,0.90,0.487500,0.500000,pinv,2,0.493750,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,9,arm_length_minus10,arm_length,0.90,0.487500,0.500000,pinv,2,0.493750,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
3,10,arm_length_plus10,arm_length,1.10,0.487500,0.500000,pinv,2,0.493750,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_bisection_v1
