condition_id,parameter,factor,controller,motor,eta,n_expected,n_present,valid_prefault_count,contact_count,safe_count,safe_rate,vertical_fail,horizontal_fail,tilt_fail,angular_fail,drift_fail,mean_vertical_speed_mps,max_vertical_speed_mps,mean_angular_rate_radps,max_angular_rate_radps
mass_minus10,mass,0.90,pinv,2,0.350,5,5,5,5,0,0.0,5,5,5,5,0,4.2047521591186525,4.329057693481445,18.389628796295735,19.04610587287551
mass_minus10,mass,0.90,pinv,2,0.400,5,5,5,5,0,0.0,5,5,5,5,0,4.257955169677734,4.3610639572143555,31.895495573598236,38.13900737712067
mass_minus10,mass,0.90,pinv,2,0.450,5,5,5,5,5,1.0,0,0,0,0,0,0.08179374635219575,0.08244557678699493,0.009909060224691808,0.01601754930235928
mass_minus10,mass,0.90,pinv,2,0.500,5,5,5,5,5,1.0,0,0,0,0,0,0.08122481256723404,0.0820406898856163,0.0019454812027117345,0.0024467863144493804
mass_minus10,mass,0.90,pinv,2,0.550,5,5,5,5,5,1.0,0,0,0,0,0,0.0815577581524849,0.08194611221551895,0.002131960161222284,0.0023832769502011675
mass_minus10,mass,0.90,pinv,2,0.600,5,5,5,5,5,1.0,0,0,0,0,0,0.0819013923406601,0.08228325098752975,0.0019672174440812135,0.0021814475238700884
mass_minus10,mass,0.90,pinv,2,0.650,5,5,5,5,5,1.0,0,0,0,0,0,0.08159348368644714,0.08203784376382828,0.002102159769296695,0.002440113952538788
mass_plus10,mass,1.10,pinv,2,0.350,5,5,5,5,0,0.0,5,0,0,5,0,1.146656584739685,1.1770113706588745,12.545264655454012,12.628143584289997
mass_plus10,mass,1.10,pinv,2,0.400,5,5,5,5,0,0.0,5,0,0,5,0,1.0490800857543945,1.0703375339508057,10.944949346540572,11.119826776676046
mass_plus10,mass,1.10,pinv,2,0.450,5,5,5,5,0,0.0,5,0,0,5,0,1.408046007156372,1.4761279821395874,2.1907722335378925,2.2007902469320904
mass_plus10,mass,1.10,pinv,2,0.500,5,5,5,5,0,0.0,5,0,0,0,0,1.2047479391098022,1.2243326902389526,1.418764283622597,1.4264005307740444
mass_plus10,mass,1.10,pinv,2,0.550,5,5,5,5,5,1.0,0,0,0,0,0,0.08174344003200532,0.08189274370670319,0.006217250838581804,0.011796421794722914
mass_plus10,mass,1.10,pinv,2,0.600,5,5,5,5,5,1.0,0,0,0,0,0,0.08197579681873321,0.08303326368331909,0.002265788852276428,0.0024337987001114493
mass_plus10,mass,1.10,pinv,2,0.650,5,5,5,5,5,1.0,0,0,0,0,0,0.08207467645406723,0.08280662447214127,0.0023499444330464083,0.002438952049711471
