condition_id,parameter,factor,n_expected,n_present,valid_prefault_count,contact_count,minimum_safe_rate,maximum_safe_rate,majority_bracket_status,majority_bracket_eta_low,majority_bracket_eta_high,monotonicity_violations,vertical_fail_total,horizontal_fail_total,tilt_fail_total,angular_fail_total,drift_fail_total
mass_minus10,mass,0.90,35,35,35,35,0.0,1.0,bracketed,0.400,0.450,0,10,10,10,10,0
mass_plus10,mass,1.10,35,35,35,35,0.0,1.0,bracketed,0.500,0.550,0,20,0,0,15,0
thrust_coefficient_minus10,thrust_coefficient,0.90,35,35,35,35,0.0,1.0,bracketed,0.550,0.600,0,25,0,0,15,0
thrust_coefficient_plus10,thrust_coefficient,1.10,35,35,35,35,0.0,1.0,bracketed,0.450,0.500,0,10,10,10,14,0
motor_time_constant_minus10,motor_time_constant,0.90,35,35,35,35,0.0,1.0,bracketed,0.450,0.500,0,15,10,10,15,0
motor_time_constant_plus10,motor_time_constant,1.10,35,35,35,35,0.0,1.0,bracketed,0.450,0.500,0,15,10,10,15,0
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.90,35,35,35,35,0.0,1.0,bracketed,0.450,0.500,0,13,10,10,15,0
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.10,35,35,35,35,0.0,1.0,bracketed,0.450,0.500,0,15,10,10,15,0
arm_length_minus10,arm_length,0.90,35,35,35,35,0.0,1.0,bracketed,0.450,0.500,0,15,10,10,15,0
arm_length_plus10,arm_length,1.10,35,35,35,35,0.0,1.0,bracketed,0.450,0.500,0,15,10,10,15,0
