condition_index,condition_id,parameter,factor,controller,motor,eta,eta_index,rep,trial_seed,protocol_id,ofat_protocol_id
1,mass_minus10,mass,0.90,pinv,2,0.350,1,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.350,1,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.350,1,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.350,1,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.350,1,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.400,2,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.400,2,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.400,2,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.400,2,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.400,2,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.450,3,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.450,3,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.450,3,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.450,3,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.450,3,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.500,4,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.500,4,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.500,4,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.500,4,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.500,4,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.550,5,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.550,5,2,63200002,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.550,5,3,63200003,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.550,5,4,63200004,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.550,5,5,63200005,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
1,mass_minus10,mass,0.90,pinv,2,0.600,6,1,63200001,seeded_ic_v1,crazyflie_ofat_pinv_localization_v1
