condition_id,parameter,factor,n_trials,n_seeds,n_eta,safe_count,eta_min,eta_max,eta_center,intercept,slope_per_eta_0p0001,odds_ratio_per_eta_0p0001,ed10,ed50,ed90,firth_iterations,slope_ci95_low,slope_ci95_high,ed10_ci95_low,ed10_ci95_high,ed50_ci95_low,ed50_ci95_high,ed90_ci95_low,ed90_ci95_high,bootstrap_replicates,bootstrap_seed
nominal,nominal,1.0,210,30,7,83,0.4952,0.4958,0.49549999999999994,-0.9721599823187937,1.2990150853649933,3.665684502760142,0.4954056928122837,0.49557483823654325,0.4957439836608028,9,1.0982361031186054,1.6190572827544327,0.49537235721613704,0.49544773749096666,0.4955371088539188,0.49561359852839065,0.4956814264599409,0.49580251927028013,5000,20260817
mass_minus10,mass,0.9,210,30,7,60,0.44375,0.45,0.446875,-12.326515811962329,0.7888970296399646,2.200967485077674,0.44815898141380367,0.44843749996499394,0.4487160185161842,14,0.7888970296399646,0.7888970296399646,0.44815898141380367,0.44815898141380367,0.44843749996499394,0.44843749996499394,0.4487160185161842,0.4487160185161842,5000,20260817
mass_plus10,mass,1.1,210,30,7,150,0.54375,0.55,0.546875,12.326515822169833,0.7888970302781732,2.2009674864823503,0.5450339814840113,0.5453125000349762,0.5455910185859412,15,0.7888970302781732,0.7888970302781732,0.5450339814840113,0.5450339814840113,0.5453125000349762,0.5453125000349762,0.5455910185859412,0.5455910185859412,5000,20260817
thrust_coefficient_minus10,thrust_coefficient,0.9,210,30,7,180,0.55,0.55625,0.553125,20.54896987828312,0.7890871495393693,2.20138597257467,0.5502424040194549,0.5505208554653591,0.5507993069112632,15,0.7890871495393693,0.7890871495393693,0.5502424040194549,0.5502424040194549,0.5505208554653591,0.5505208554653591,0.5507993069112632,0.5507993069112632,5000,20260817
thrust_coefficient_plus10,thrust_coefficient,1.1,210,30,7,188,0.45,0.45625,0.45312499999999994,14.229985848193577,0.4864580396011368,1.6265448475658206,0.4497480981732773,0.4501997763034482,0.45065145443361904,14,0.4163351935226322,0.5919013204759856,0.44953392492634675,0.44997687510676704,0.450061678671768,0.4503480897833554,0.45058943241719585,0.4507193044599437,5000,20260817
motor_time_constant_minus10,motor_time_constant,0.9,210,30,7,150,0.49375,0.5,0.49687500000000007,12.32651582217069,0.788897030278214,2.2009674864824404,0.49503398148401134,0.4953125000349763,0.49559101858594123,15,0.788897030278214,0.788897030278214,0.49503398148401134,0.49503398148401134,0.4953125000349763,0.4953125000349763,0.49559101858594123,0.49559101858594123,5000,20260817
motor_time_constant_plus10,motor_time_constant,1.1,210,30,7,154,0.49375,0.5,0.49687500000000007,4.22021077033068,0.2476582466718438,1.2810220638230434,0.49428375362161064,0.49517095386907406,0.49605815411653753,14,0.17065774262212707,0.5197217732511635,0.49379893760570165,0.4948372024664366,0.4950197715284581,0.4952763631463121,0.49568274124910416,0.4963648729329986,5000,20260817
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.9,210,30,7,147,0.49375,0.5,0.49687500000000007,8.227219724181623,0.5922211860924559,1.807999862813433,0.4951147718037919,0.4954857859837867,0.4958568001637814,12,0.5247052266019891,0.788897030278214,0.49503398148401134,0.49516252655464454,0.4953125000349763,0.49558128061547996,0.49559101858594123,0.4960000346961699,5000,20260817
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.1,210,30,7,150,0.49375,0.5,0.49687500000000007,12.32651582217069,0.788897030278214,2.2009674864824404,0.49503398148401134,0.4953125000349763,0.49559101858594123,15,0.788897030278214,0.788897030278214,0.49503398148401134,0.49503398148401134,0.4953125000349763,0.4953125000349763,0.49559101858594123,0.49559101858594123,5000,20260817
arm_length_minus10,arm_length,0.9,210,30,7,150,0.49375,0.5,0.49687500000000007,12.32651582217069,0.788897030278214,2.2009674864824404,0.49503398148401134,0.4953125000349763,0.49559101858594123,15,0.788897030278214,0.788897030278214,0.49503398148401134,0.49503398148401134,0.4953125000349763,0.4953125000349763,0.49559101858594123,0.49559101858594123,5000,20260817
arm_length_plus10,arm_length,1.1,210,30,7,149,0.49375,0.5,0.49687500000000007,10.060218139279803,0.6800333259718394,1.973943514720293,0.49507252323180656,0.4953956286581761,0.49571873408454564,14,0.5922211860692405,0.788897030278214,0.49503398148401134,0.4951147718037933,0.4953125000349763,0.4954857859837879,0.49559101858594123,0.4958568001637824,5000,20260817
