condition_id,parameter,factor,ed50,ed50_ci95_low,ed50_ci95_high,delta_ed50,delta_ed50_ci95_low,delta_ed50_ci95_high,delta_interpretation,fine_safe_count,fine_trial_count,primary_failure_mechanism,vertical_fail_total,horizontal_fail_total,tilt_fail_total,angular_fail_total,drift_fail_total,pinv_safe_eta0p496,cem_safe_eta0p496,pinv_only_safe,cem_only_safe,routing_state,mcnemar_exact_p,pinv_vertical_fail_eta0p496,pinv_angular_fail_eta0p496,cem_vertical_fail_eta0p496,cem_angular_fail_eta0p496
mass_minus10,mass,0.9,0.44843749996499394,0.44843749996499394,0.44843749996499394,-0.04713733827154931,-0.04717609856339674,-0.04709960888892484,improved_fault_tolerance,60,210,angular_rate,0,72,46,150,0,30,27,3,0,pinv_preferred,0.25,0,0,0,3
mass_plus10,mass,1.1,0.5453125000349762,0.5453125000349762,0.5453125000349762,0.049737661798432975,0.04969890150658555,0.04977539118105745,reduced_fault_tolerance,150,210,vertical_speed,60,0,0,0,0,0,0,0,0,tie,1.0,30,5,30,30
thrust_coefficient_minus10,thrust_coefficient,0.9,0.5505208554653591,0.5505208554653591,0.5505208554653591,0.05494601722881587,0.05490725693696844,0.05498374661144034,reduced_fault_tolerance,180,210,vertical_speed,30,0,0,0,0,0,0,0,0,tie,1.0,30,10,30,30
thrust_coefficient_plus10,thrust_coefficient,1.1,0.4501997763034482,0.450061678671768,0.4503480897833554,-0.04537506193309504,-0.04551648636042843,-0.04523701631552553,improved_fault_tolerance,188,210,angular_rate,0,0,0,22,0,30,18,12,0,pinv_preferred,0.00048828125,0,0,0,12
motor_time_constant_minus10,motor_time_constant,0.9,0.4953125000349763,0.4953125000349763,0.4953125000349763,-0.0002623382015669584,-0.00030109849341438815,-0.0002246088189424844,improved_fault_tolerance,150,210,vertical_speed,60,0,0,0,0,30,0,30,0,pinv_preferred,1.862645149230957e-09,0,0,29,30
motor_time_constant_plus10,motor_time_constant,1.1,0.49517095386907406,0.4950197715284581,0.4952763631463121,-0.0004038843674691872,-0.0005582888579941297,-0.00028726013478276997,improved_fault_tolerance,154,210,vertical_speed,56,0,0,0,0,30,0,30,0,pinv_preferred,1.862645149230957e-09,0,0,28,30
thrust_to_torque_ratio_minus10,thrust_to_torque_ratio,0.9,0.4954857859837867,0.4953125000349763,0.49558128061547996,-8.90522527565718e-05,-0.00025953328448987957,2.7702315201863484e-05,uncertain_relative_to_nominal,147,210,vertical_speed,63,0,0,0,0,30,0,30,0,pinv_preferred,1.862645149230957e-09,0,0,28,30
thrust_to_torque_ratio_plus10,thrust_to_torque_ratio,1.1,0.4953125000349763,0.4953125000349763,0.4953125000349763,-0.0002623382015669584,-0.00030109849341438815,-0.0002246088189424844,improved_fault_tolerance,150,210,vertical_speed,60,0,0,0,0,30,0,30,0,pinv_preferred,1.862645149230957e-09,0,0,23,29
arm_length_minus10,arm_length,0.9,0.4953125000349763,0.4953125000349763,0.4953125000349763,-0.0002623382015669584,-0.00030109849341438815,-0.0002246088189424844,improved_fault_tolerance,150,210,vertical_speed,60,0,0,0,0,30,0,30,0,pinv_preferred,1.862645149230957e-09,0,0,30,30
arm_length_plus10,arm_length,1.1,0.4953956286581761,0.4953125000349763,0.4954857859837879,-0.00017920957836714546,-0.00029192952047570053,-7.17450722886218e-05,improved_fault_tolerance,149,210,vertical_speed,61,0,0,0,0,30,0,30,0,pinv_preferred,1.862645149230957e-09,0,0,24,30
