experiment,policy_id,scope,selected_policy,n,safe_count,safe_rate,wilson95_lower,wilson95_upper,mean_vertical_speed_mps,maximum_vertical_speed_mps,vertical_failure_count,other_failure_count,interpretation
randomized_supervisor_v1,oracle_motor_conditioned_v1,M1,cem_tuned_qplite,30,29,0.9666666666666667,0.8332960900859082,0.9940914096183874,0.3315618405739466,0.35518109798431396,1,0,Primary integrated result and retained policy.
randomized_supervisor_v1,oracle_motor_conditioned_v1,M2,pinv_bounded_wls,30,30,1.0,0.8864866068260312,0.9999999999999999,0.32910124957561493,0.33772245049476624,0,0,Primary integrated result and retained policy.
randomized_supervisor_v1,oracle_motor_conditioned_v1,M3,cem_tuned_qplite,30,30,1.0,0.8864866068260312,0.9999999999999999,0.32272588411966957,0.34250372648239136,0,0,Primary integrated result and retained policy.
randomized_supervisor_v1,oracle_motor_conditioned_v1,M4,cem_tuned_qplite,30,26,0.8666666666666667,0.703186733179637,0.9469034451594526,0.34026927351951597,0.39882373809814453,4,0,Primary integrated result and retained policy.
randomized_supervisor_v1,oracle_motor_conditioned_v1,overall,motor-conditioned supervisor,120,115,0.9583333333333334,0.9061591476629647,0.9820732831198906,,,5,0,Primary integrated result and retained policy.
randomized_supervisor_v2,oracle_motor_conditioned_v2,M1,cem_tuned_qplite,30,29,0.9666666666666667,0.8332960900859082,0.9940914096183874,0.3336123595635096,0.36693620681762695,1,0,Negative replication using forced M4 opp_m2_14000; not retained.
randomized_supervisor_v2,oracle_motor_conditioned_v2,M2,pinv_bounded_wls,30,30,1.0,0.8864866068260312,0.9999999999999999,0.3297661691904068,0.340717077255249,0,0,Negative replication using forced M4 opp_m2_14000; not retained.
randomized_supervisor_v2,oracle_motor_conditioned_v2,M3,cem_tuned_qplite,30,30,1.0,0.8864866068260312,0.9999999999999999,0.32719807426134745,0.3466678559780121,0,0,Negative replication using forced M4 opp_m2_14000; not retained.
randomized_supervisor_v2,oracle_motor_conditioned_v2,M4,manual_opp_m2_14000,30,24,0.8,0.6269430358685175,0.9049489282271013,0.3516806364059448,0.5596734285354614,6,0,Negative replication using forced M4 opp_m2_14000; not retained.
randomized_supervisor_v2,oracle_motor_conditioned_v2,overall,motor-conditioned supervisor,120,113,0.9416666666666667,0.8844740796636988,0.9714589899997798,,,7,0,Negative replication using forced M4 opp_m2_14000; not retained.
m4_exact_seed_fixed_controls,fixed_opp_m2_12000,M4,opp_m2_12000,30,28,0.9333333333333333,0.7867654163738308,0.9815229762087295,0.3381636490424474,0.35962173342704773,2,0,Exact-seed fixed-control comparison used to evaluate the M4 guard.
m4_exact_seed_fixed_controls,fixed_opp_m2_14000,M4,opp_m2_14000,30,26,0.8666666666666667,0.703186733179637,0.9469034451594526,0.33843427449464797,0.38338232040405273,4,0,Exact-seed fixed-control comparison used to evaluate the M4 guard.
m4_guard_threshold_sweep,guard_0.16,M4,opp_m2_14000_to_12000,30,24,0.8,0.6269430358685175,0.9049489282271013,0.3432843844095866,0.36817362904548645,6,0,Rejected: switched in every trial and underperformed fixed 12000.
m4_guard_threshold_sweep,guard_0.18,M4,opp_m2_14000_to_12000,30,23,0.7666666666666667,0.5907167384187784,0.8820761185551049,0.345241567492485,0.39477118849754333,7,0,Rejected: switched in every trial and underperformed fixed 12000.
m4_guard_threshold_sweep,guard_0.20,M4,opp_m2_14000_to_12000,30,23,0.7666666666666667,0.5907167384187784,0.8820761185551049,0.3431546638409297,0.3716202974319458,7,0,Rejected: switched in every trial and underperformed fixed 12000.
