sequence_index,strength,repetition,trial_seed,manual_name,tag,expected_csv
1,12000,29,45780029,opp_m2_12000,seededm4manual_m4_guard_seedmatched_fixed_controls_r12000_eta0p496_seed45780029,logs/qp_event_allocator_m4_eta0p496_seededm4manual_m4_guard_seedmatched_fixed_controls_r12000_eta0p496_seed45780029.csv
2,12000,6,45780006,opp_m2_12000,seededm4manual_m4_guard_seedmatched_fixed_controls_r12000_eta0p496_seed45780006,logs/qp_event_allocator_m4_eta0p496_seededm4manual_m4_guard_seedmatched_fixed_controls_r12000_eta0p496_seed45780006.csv
3,12000,5,45780005,opp_m2_12000,seededm4manual_m4_guard_seedmatched_fixed_controls_r12000_eta0p496_seed45780005,logs/qp_event_allocator_m4_eta0p496_seededm4manual_m4_guard_seedmatched_fixed_controls_r12000_eta0p496_seed45780005.csv
4,12000,4,45780004,opp_m2_12000,seededm4manual_m4_guard_seedmatched_fixed_controls_r12000_eta0p496_seed45780004,logs/qp_event_allocator_m4_eta0p496_seededm4manual_m4_guard_seedmatched_fixed_controls_r12000_eta0p496_seed45780004.csv
5,14000,6,45780006,opp_m2_14000,seededm4manual_m4_guard_seedmatched_fixed_controls_r14000_eta0p496_seed45780006,logs/qp_event_allocator_m4_eta0p496_seededm4manual_m4_guard_seedmatched_fixed_controls_r14000_eta0p496_seed45780006.csv
6,12000,22,45780022,opp_m2_12000,seededm4manual_m4_guard_seedmatched_fixed_controls_r12000_eta0p496_seed45780022,logs/qp_event_allocator_m4_eta0p496_seededm4manual_m4_guard_seedmatched_fixed_controls_r12000_eta0p496_seed45780022.csv
7,12000,20,45780020,opp_m2_12000,seededm4manual_m4_guard_seedmatched_fixed_controls_r12000_eta0p496_seed45780020,logs/qp_event_allocator_m4_eta0p496_seededm4manual_m4_guard_seedmatched_fixed_controls_r12000_eta0p496_seed45780020.csv
8,14000,30,45780030,opp_m2_14000,seededm4manual_m4_guard_seedmatched_fixed_controls_r14000_eta0p496_seed45780030,logs/qp_event_allocator_m4_eta0p496_seededm4manual_m4_guard_seedmatched_fixed_controls_r14000_eta0p496_seed45780030.csv
9,14000,12,45780012,opp_m2_14000,seededm4manual_m4_guard_seedmatched_fixed_controls_r14000_eta0p496_seed45780012,logs/qp_event_allocator_m4_eta0p496_seededm4manual_m4_guard_seedmatched_fixed_controls_r14000_eta0p496_seed45780012.csv
10,12000,11,45780011,opp_m2_12000,seededm4manual_m4_guard_seedmatched_fixed_controls_r12000_eta0p496_seed45780011,logs/qp_event_allocator_m4_eta0p496_seededm4manual_m4_guard_seedmatched_fixed_controls_r12000_eta0p496_seed45780011.csv
11,14000,5,45780005,opp_m2_14000,seededm4manual_m4_guard_seedmatched_fixed_controls_r14000_eta0p496_seed45780005,logs/qp_event_allocator_m4_eta0p496_seededm4manual_m4_guard_seedmatched_fixed_controls_r14000_eta0p496_seed45780005.csv
12,14000,16,45780016,opp_m2_14000,seededm4manual_m4_guard_seedmatched_fixed_controls_r14000_eta0p496_seed45780016,logs/qp_event_allocator_m4_eta0p496_seededm4manual_m4_guard_seedmatched_fixed_controls_r14000_eta0p496_seed45780016.csv
13,14000,10,45780010,opp_m2_14000,seededm4manual_m4_guard_seedmatched_fixed_controls_r14000_eta0p496_seed45780010,logs/qp_event_allocator_m4_eta0p496_seededm4manual_m4_guard_seedmatched_fixed_controls_r14000_eta0p496_seed45780010.csv
14,14000,2,45780002,opp_m2_14000,seededm4manual_m4_guard_seedmatched_fixed_controls_r14000_eta0p496_seed45780002,logs/qp_event_allocator_m4_eta0p496_seededm4manual_m4_guard_seedmatched_fixed_controls_r14000_eta0p496_seed45780002.csv
