sequence_index,guard_threshold_mps,repetition,trial_seed,tag,expected_csv
1,0.16,21,45780021,m4guardsweep_fresh30_g0p16_seed45780021,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p16_seed45780021.csv
2,0.16,4,45780004,m4guardsweep_fresh30_g0p16_seed45780004,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p16_seed45780004.csv
3,0.16,30,45780030,m4guardsweep_fresh30_g0p16_seed45780030,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p16_seed45780030.csv
4,0.2,25,45780025,m4guardsweep_fresh30_g0p2_seed45780025,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p2_seed45780025.csv
5,0.2,8,45780008,m4guardsweep_fresh30_g0p2_seed45780008,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p2_seed45780008.csv
6,0.18,10,45780010,m4guardsweep_fresh30_g0p18_seed45780010,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p18_seed45780010.csv
7,0.2,20,45780020,m4guardsweep_fresh30_g0p2_seed45780020,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p2_seed45780020.csv
8,0.18,22,45780022,m4guardsweep_fresh30_g0p18_seed45780022,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p18_seed45780022.csv
9,0.18,17,45780017,m4guardsweep_fresh30_g0p18_seed45780017,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p18_seed45780017.csv
10,0.16,24,45780024,m4guardsweep_fresh30_g0p16_seed45780024,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p16_seed45780024.csv
11,0.2,4,45780004,m4guardsweep_fresh30_g0p2_seed45780004,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p2_seed45780004.csv
12,0.16,18,45780018,m4guardsweep_fresh30_g0p16_seed45780018,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p16_seed45780018.csv
13,0.16,5,45780005,m4guardsweep_fresh30_g0p16_seed45780005,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p16_seed45780005.csv
14,0.18,19,45780019,m4guardsweep_fresh30_g0p18_seed45780019,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p18_seed45780019.csv
15,0.16,22,45780022,m4guardsweep_fresh30_g0p16_seed45780022,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p16_seed45780022.csv
16,0.18,25,45780025,m4guardsweep_fresh30_g0p18_seed45780025,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p18_seed45780025.csv
17,0.2,3,45780003,m4guardsweep_fresh30_g0p2_seed45780003,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p2_seed45780003.csv
18,0.2,28,45780028,m4guardsweep_fresh30_g0p2_seed45780028,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p2_seed45780028.csv
19,0.16,16,45780016,m4guardsweep_fresh30_g0p16_seed45780016,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p16_seed45780016.csv
20,0.18,12,45780012,m4guardsweep_fresh30_g0p18_seed45780012,logs/qp_event_allocator_m4_eta0p496_m4guardsweep_fresh30_g0p18_seed45780012.csv
