motor,trial_seed,pinv_safe,qplite_safe,cem_tuned_safe,pinv_vertical_speed_mps,qplite_vertical_speed_mps,cem_tuned_vertical_speed_mps
1,14980001,True,False,True,0.3490058183670044,0.3916913866996765,0.3125245273113251
1,14980002,True,False,True,0.3450685441493988,0.36386242508888245,0.3373548090457916
1,14980003,False,False,True,0.35600459575653076,0.37698978185653687,0.31995049118995667
1,14980004,False,False,True,0.35134389996528625,0.3597642779350281,0.3271494209766388
1,14980005,True,False,True,0.3466120958328247,0.3653450012207031,0.334823876619339
1,14980006,True,False,True,0.34054136276245117,0.36621183156967163,0.3320824205875397
1,14980007,True,False,True,0.34092915058135986,0.3706728518009186,0.31652209162712097
1,14980008,True,True,True,0.3420594334602356,0.3296506702899933,0.33504655957221985
1,14980009,True,False,True,0.3447478413581848,0.35903871059417725,0.33081337809562683
1,14980010,True,False,True,0.341434508562088,0.35814088582992554,0.33070215582847595
1,14980011,True,False,True,0.34912508726119995,0.3720746636390686,0.31761816143989563
1,14980012,True,False,True,0.3491095006465912,0.36693501472473145,0.3463592529296875
1,14980013,True,False,True,0.34711602330207825,0.37518906593322754,0.3388387858867645
1,14980014,True,False,True,0.33823439478874207,0.36786088347435,0.31352898478507996
1,14980015,True,True,True,0.3463016748428345,0.3455585837364197,0.3403816223144531
1,14980016,True,False,True,0.34587493538856506,0.3576984107494354,0.34520161151885986
1,14980017,True,False,True,0.345647394657135,0.36706945300102234,0.34359756112098694
1,14980018,True,False,True,0.3335161805152893,0.36669179797172546,0.3317440450191498
1,14980019,True,False,True,0.346608966588974,0.36166542768478394,0.3283620774745941
1,14980020,True,False,True,0.34577876329421997,0.37092727422714233,0.3259156346321106
1,14980021,True,False,True,0.3482834994792938,0.3774292767047882,0.34952759742736816
1,14980022,False,False,True,0.3501449525356293,0.3665686845779419,0.3262304961681366
1,14980023,False,False,True,0.35636281967163086,0.36874520778656006,0.3387431204319
1,14980024,True,True,True,0.3394726514816284,0.3458089530467987,0.32753095030784607
1,14980025,True,False,True,0.34433040022850037,0.36927908658981323,0.3232118785381317
1,14980026,True,True,True,0.3397270441055298,0.3452970087528229,0.33235156536102295
1,14980027,True,False,True,0.33643218874931335,0.37456175684928894,0.33161240816116333
1,14980028,True,False,True,0.33898502588272095,0.3692132532596588,0.33738499879837036
1,14980029,True,False,True,0.3372791111469269,0.37153035402297974,0.3289830982685089
1,14980030,True,False,True,0.34443408250808716,0.35947921872138977,0.3330625295639038
2,24980001,True,True,False,0.32550305128097534,0.3323836922645569,0.35805216431617737
2,24980002,True,False,False,0.33101576566696167,0.3694751262664795,0.35728520154953003
2,24980003,True,True,False,0.3258572518825531,0.3441353738307953,0.3610462546348572
2,24980004,True,True,False,0.3274148404598236,0.34872308373451233,0.3651764690876007
2,24980005,True,False,True,0.3178478181362152,0.35940104722976685,0.34048014879226685
2,24980006,True,False,False,0.3220374882221222,0.363311767578125,0.359571635723114
2,24980007,True,False,False,0.3288370668888092,0.3613312244415283,0.368522971868515
2,24980008,True,True,False,0.3309476673603058,0.34644415974617004,0.36282819509506226
2,24980009,True,False,False,0.32478585839271545,0.3556000292301178,0.3731834888458252
2,24980010,True,False,False,0.32875320315361023,0.3742046356201172,0.36797645688056946
2,24980011,True,False,False,0.33234870433807373,0.3531213700771332,0.35615089535713196
2,24980012,True,False,False,0.33430442214012146,0.3648516833782196,0.3654004633426666
2,24980013,True,False,False,0.33041971921920776,0.3680253028869629,0.3926979899406433
2,24980014,True,False,False,0.33638498187065125,0.3627640902996063,0.3659251928329468
2,24980015,True,False,False,0.327064573764801,0.3580712080001831,0.3659166991710663
2,24980016,True,False,False,0.33774334192276,0.35714685916900635,0.3773175776004791
2,24980017,True,False,False,0.3387104570865631,0.3587757647037506,0.3688105642795563
2,24980018,True,False,False,0.3220413029193878,0.36564239859580994,0.3629337549209595
2,24980019,True,False,False,0.3327968418598175,0.37296536564826965,0.3629581332206726
2,24980020,True,False,False,0.3378158211708069,0.36152350902557373,0.35783687233924866
2,24980021,True,False,True,0.3236921727657318,0.35938504338264465,0.3494516909122467
2,24980022,True,True,False,0.3409856855869293,0.34972715377807617,0.36784371733665466
2,24980023,True,False,False,0.3298214077949524,0.3660168945789337,0.3671770989894867
2,24980024,True,False,False,0.32997849583625793,0.37159091234207153,0.3699881434440613
2,24980025,True,False,False,0.32137608528137207,0.3531292974948883,0.3609927296638489
2,24980026,True,False,False,0.3308779001235962,0.3534465432167053,0.3587147891521454
2,24980027,True,True,False,0.33111807703971863,0.3470337688922882,0.3579230308532715
2,24980028,True,False,False,0.2176855057477951,0.35984542965888977,0.3601824641227722
2,24980029,True,False,False,0.2215757817029953,0.3597269356250763,0.3654208183288574
2,24980030,True,False,True,0.21133726835250854,0.362812876701355,0.3475404679775238
3,34980001,True,True,True,0.3419052064418793,0.3229856491088867,0.3045613467693329
3,34980002,False,True,True,0.35548266768455505,0.34522274136543274,0.3146511912345886
