motor,first,second,n_pairs,first_safe_count,second_safe_count,both_safe,first_only_safe,second_only_safe,both_unsafe,mcnemar_exact_p,mean_speed_difference_first_minus_second,median_speed_difference_first_minus_second,bootstrap95_mean_difference_lower,bootstrap95_mean_difference_upper,mcnemar_holm12_p,mcnemar_holm_within_motor_p
1,pinv,qplite,30,26,4,4,22,0,4,4.76837158203125e-07,-0.020014641682306926,-0.019889533519744873,-0.024103595813115438,-0.015780038634936013,3.814697265625e-06,9.5367431640625e-07
1,pinv,cem_tuned,30,26,30,26,0,4,0,0.125,0.013445194562276204,0.011051952838897705,0.009911281863848369,0.017280492186546325,0.375,0.125
1,qplite,cem_tuned,30,4,30,4,0,26,0,2.9802322387695312e-08,0.03345983624458313,0.03222155570983887,0.027470349272092184,0.03960192600886027,3.2782554626464844e-07,8.940696716308594e-08
2,pinv,qplite,30,30,6,6,24,0,0,1.1920928955078125e-07,-0.04031779964764913,-0.03137992322444916,-0.05424843082825343,-0.028654958804448447,1.1920928955078125e-06,2.384185791015625e-07
2,pinv,cem_tuned,30,30,3,3,27,0,0,1.4901161193847656e-08,-0.04480758408705394,-0.03627234697341919,-0.05780487755934397,-0.03441098729769389,1.7881393432617188e-07,4.470348358154297e-08
2,qplite,cem_tuned,30,6,3,0,6,3,21,0.5078125,-0.004489784439404805,-0.004214674234390259,-0.00865190823872884,-0.0003576904535293579,1.0,0.5078125
3,pinv,qplite,30,19,28,17,2,11,0,0.0224609375,-0.034485631187756854,-0.06511509418487549,-0.05525933851798375,-0.013184355199337005,0.1123046875,0.044921875
3,pinv,cem_tuned,30,19,29,18,1,11,0,0.00634765625,-0.026522178451220194,-0.06967893242835999,-0.04603664129972458,-0.006592995921770732,0.0380859375,0.01904296875
3,qplite,cem_tuned,30,28,29,27,1,2,0,1.0,0.007963452736536663,0.010630965232849121,0.0021092712879180906,0.013363698124885559,1.0,1.0
4,pinv,qplite,30,0,5,0,0,5,25,0.0625,0.014730563759803772,0.01630750298500061,0.01074325442314148,0.018745826681454976,0.25,0.0625
4,pinv,cem_tuned,30,0,23,0,0,23,7,2.384185791015625e-07,0.030012248953183492,0.03249096870422363,0.023649750153223674,0.03461267054080963,2.1457672119140625e-06,7.152557373046875e-07
4,qplite,cem_tuned,30,5,23,5,0,18,7,7.62939453125e-06,0.01528168519337972,0.016371697187423706,0.007655260960261027,0.021603166063626607,5.340576171875e-05,1.52587890625e-05
