sequence_index,motor,repetition_within_motor,trial_seed,selected_policy,tag,expected_csv
1,2,1,25280001,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280001,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280001.csv
2,4,1,45280001,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280001,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280001.csv
3,4,2,45280002,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280002,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280002.csv
4,1,1,15280001,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280001,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280001.csv
5,1,2,15280002,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280002,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280002.csv
6,1,3,15280003,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280003,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280003.csv
7,2,2,25280002,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280002,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280002.csv
8,4,3,45280003,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280003,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280003.csv
9,3,1,35280001,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280001,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280001.csv
10,4,4,45280004,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280004,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280004.csv
11,3,2,35280002,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280002,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280002.csv
12,1,4,15280004,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280004,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280004.csv
13,1,5,15280005,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280005,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280005.csv
14,2,3,25280003,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280003,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280003.csv
15,2,4,25280004,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280004,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280004.csv
16,1,6,15280006,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280006,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280006.csv
17,3,3,35280003,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280003,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280003.csv
18,4,5,45280005,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280005,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280005.csv
19,2,5,25280005,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280005,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280005.csv
20,4,6,45280006,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280006,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280006.csv
21,2,6,25280006,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280006,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280006.csv
22,2,7,25280007,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280007,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280007.csv
23,3,4,35280004,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280004,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280004.csv
24,3,5,35280005,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280005,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280005.csv
25,1,7,15280007,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280007,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280007.csv
26,3,6,35280006,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280006,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280006.csv
27,2,8,25280008,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280008,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280008.csv
28,3,7,35280007,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280007,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280007.csv
29,4,7,45280007,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280007,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280007.csv
30,1,8,15280008,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280008,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280008.csv
31,3,8,35280008,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280008,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280008.csv
32,3,9,35280009,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280009,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280009.csv
33,4,8,45280008,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280008,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280008.csv
34,4,9,45280009,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280009,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280009.csv
35,1,9,15280009,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280009,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280009.csv
36,4,10,45280010,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280010,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280010.csv
37,2,9,25280009,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280009,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280009.csv
38,1,10,15280010,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280010,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280010.csv
39,3,10,35280010,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280010,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280010.csv
40,3,11,35280011,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280011,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280011.csv
41,2,10,25280010,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280010,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280010.csv
42,4,11,45280011,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280011,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280011.csv
43,3,12,35280012,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280012,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280012.csv
44,2,11,25280011,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280011,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280011.csv
45,1,11,15280011,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280011,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280011.csv
46,2,12,25280012,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280012,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280012.csv
47,1,12,15280012,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280012,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280012.csv
48,4,12,45280012,cem_tuned_qplite,seededsupervisor_production120_m4_eta0p496_seed45280012,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280012.csv
49,2,13,25280013,pinv_bounded_wls,seededsupervisor_production120_m2_eta0p496_seed25280013,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280013.csv
50,3,13,35280013,cem_tuned_qplite,seededsupervisor_production120_m3_eta0p496_seed35280013,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280013.csv
51,1,13,15280013,cem_tuned_qplite,seededsupervisor_production120_m1_eta0p496_seed15280013,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280013.csv
