sequence_index,motor,repetition_within_motor,trial_seed,selected_policy,runtime_controller,source_csv,rows,fault_z,fault_vz,contact_t,safe_touchdown,vertical_speed_mps,vertical_speed_margin_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,vertical_speed_ok,horizontal_speed_ok,roll_pitch_ok,angular_rate_ok,drift_ok
1,2,1,25280001,pinv_bounded_wls,pinv,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280001.csv,4194,0.7006510496139526,-0.003644235199317336,15.171826124191284,True,0.32266902923583984,0.027330970764160134,0.007813347548453602,0.019353419542312622,0.07879351708018657,0.007527411222083526,True,True,True,True,True
2,4,1,45280001,cem_tuned_qplite,qplite,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280001.csv,4189,0.7252540588378906,-0.0037124676164239645,13.586820125579834,True,0.34996503591537476,3.4964084625221936e-05,0.01933148129703304,0.03978118672966957,0.019673561021057086,0.29069700049237474,True,True,True,True,True
3,4,2,45280002,cem_tuned_qplite,qplite,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280002.csv,4197,0.7118175625801086,-0.0037090282421559095,13.605844259262085,True,0.33825448155403137,0.011745518445968606,0.019184288353959744,0.036158736795186996,0.018889846681617216,0.3087575240223192,True,True,True,True,True
4,1,1,15280001,cem_tuned_qplite,qplite,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280001.csv,4203,0.7034004330635071,-0.003876312403008342,13.18747615814209,True,0.320808470249176,0.029191529750823952,0.019207141497018104,0.21655486524105072,0.021636584967903612,0.3216483526970422,True,True,True,True,True
5,1,2,15280002,cem_tuned_qplite,qplite,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280002.csv,4176,0.7064445614814758,-0.003918051719665527,12.964503526687622,True,0.33578407764434814,0.014215922355651833,0.019816735828919244,0.1795070767402649,0.022622799693064143,0.3129506124859878,True,True,True,True,True
6,1,3,15280003,cem_tuned_qplite,qplite,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280003.csv,4215,0.7277427315711975,-0.003954474814236164,13.284929275512695,True,0.34243044257164,0.007569557428359963,0.018988474186607582,0.16784323751926422,0.022472326153369308,0.3041665837976109,True,True,True,True,True
7,2,2,25280002,pinv_bounded_wls,pinv,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280002.csv,4164,0.7158154845237732,-0.004018566571176052,15.045310974121094,True,0.32539913058280945,0.02460086941719053,0.0076194033616617,0.01982276886701584,0.07665002058557108,0.02444888491159492,True,True,True,True,True
8,4,3,45280003,cem_tuned_qplite,qplite,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280003.csv,4173,0.7082499861717224,-0.003935924265533686,13.444701910018921,True,0.3416301906108856,0.008369809389114358,0.020596489468988222,0.07488083094358444,0.019642501478599368,0.34472870862845073,True,True,True,True,True
9,3,1,35280001,cem_tuned_qplite,qplite,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280001.csv,4170,0.6943177580833435,-0.0036976232659071684,12.845603466033936,True,0.3269006311893463,0.023099368810653664,0.02642341266102342,0.16439972817897797,0.024574327965395944,0.3263251642266633,True,True,True,True,True
10,4,4,45280004,cem_tuned_qplite,qplite,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280004.csv,4221,0.7100706100463867,-0.003756785299628973,13.86542558670044,True,0.32941001653671265,0.02058998346328733,0.01917486079628884,0.09311336278915405,0.01866491633531027,0.31202740851225746,True,True,True,True,True
11,3,2,35280002,cem_tuned_qplite,qplite,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280002.csv,4218,0.7111932635307312,-0.0037201768718659878,13.525841474533081,True,0.2831612229347229,0.06683877706527708,0.022270523754650055,0.20392365753650665,0.02044854305862221,0.3650443738805092,True,True,True,True,True
12,1,4,15280004,cem_tuned_qplite,qplite,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280004.csv,4170,0.7029346823692322,-0.004071430303156376,12.864388465881348,True,0.33410972356796265,0.01589027643203733,0.02069575623838806,0.18400080502033234,0.024326760690316453,0.3050549389001259,True,True,True,True,True
13,1,5,15280005,cem_tuned_qplite,qplite,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280005.csv,4200,0.7063329219818115,-0.003664527554064989,13.186256170272827,True,0.3221209943294525,0.027879005670547463,0.020082483449332986,0.2025604099035263,0.022496707277419245,0.3189238239709392,True,True,True,True,True
14,2,3,25280003,pinv_bounded_wls,pinv,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280003.csv,4197,0.7096449732780457,-0.0037007760256528854,15.20440936088562,True,0.32631582021713257,0.02368417978286741,0.007398002688058087,0.0331958532333374,0.08204527361364933,0.05312787263715803,True,True,True,True,True
15,2,4,25280004,pinv_bounded_wls,pinv,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280004.csv,4233,0.7228578925132751,-0.003573791589587927,15.543710947036743,True,0.3226872682571411,0.027312731742858865,0.007414680498941466,0.02145472727715969,0.07514810042901042,0.014530700758593777,True,True,True,True,True
16,1,6,15280006,cem_tuned_qplite,qplite,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_m1_eta0p496_seed15280006.csv,4200,0.707343578338623,-0.0036981559824198484,13.146241903305054,True,0.32918959856033325,0.020810401439666726,0.02065025709638851,0.20666347444057465,0.024530676122722837,0.30616658171090705,True,True,True,True,True
17,3,3,35280003,cem_tuned_qplite,qplite,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_m3_eta0p496_seed35280003.csv,4161,0.7091537714004517,-0.00409906730055809,12.846105813980103,True,0.33302634954452515,0.01697365045547483,0.02423477296280699,0.15240295231342316,0.02094111537618528,0.33674616063154605,True,True,True,True,True
18,4,5,45280005,cem_tuned_qplite,qplite,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280005.csv,4206,0.7117647528648376,-0.003738557919859886,13.505992889404297,False,0.3711581528186798,-0.021158152818679832,0.02092186567199409,0.055640608072280884,0.01975510607668529,0.30042238142091393,False,True,True,True,True
19,2,5,25280005,pinv_bounded_wls,pinv,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_m2_eta0p496_seed25280005.csv,4206,0.7006208896636963,-0.003816463053226471,15.24501347541809,True,0.32477468252182007,0.02522531747817991,0.008093762006549928,0.026379913091659546,0.07969326469094994,0.03621308896997961,True,True,True,True,True
20,4,6,45280006,cem_tuned_qplite,qplite,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_m4_eta0p496_seed45280006.csv,4223,0.7044337391853333,-0.0036279617343097925,13.784658432006836,True,0.3399287462234497,0.01007125377655027,0.020035899926867707,0.05879594013094902,0.018771358989915762,0.32562965703684466,True,True,True,True,True
