sequence_index,motor,repetition_within_motor,trial_seed,selected_policy,tag,expected_csv
1,2,1,25680001,pinv_bounded_wls,seededsupervisor_production120_v2_m2_eta0p496_seed25680001,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_v2_m2_eta0p496_seed25680001.csv
2,3,1,35680001,cem_tuned_qplite,seededsupervisor_production120_v2_m3_eta0p496_seed35680001,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_v2_m3_eta0p496_seed35680001.csv
3,3,2,35680002,cem_tuned_qplite,seededsupervisor_production120_v2_m3_eta0p496_seed35680002,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_v2_m3_eta0p496_seed35680002.csv
4,1,1,15680001,cem_tuned_qplite,seededsupervisor_production120_v2_m1_eta0p496_seed15680001,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_v2_m1_eta0p496_seed15680001.csv
5,2,2,25680002,pinv_bounded_wls,seededsupervisor_production120_v2_m2_eta0p496_seed25680002,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_v2_m2_eta0p496_seed25680002.csv
6,1,2,15680002,cem_tuned_qplite,seededsupervisor_production120_v2_m1_eta0p496_seed15680002,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_v2_m1_eta0p496_seed15680002.csv
7,2,3,25680003,pinv_bounded_wls,seededsupervisor_production120_v2_m2_eta0p496_seed25680003,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_v2_m2_eta0p496_seed25680003.csv
8,2,4,25680004,pinv_bounded_wls,seededsupervisor_production120_v2_m2_eta0p496_seed25680004,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_v2_m2_eta0p496_seed25680004.csv
9,1,3,15680003,cem_tuned_qplite,seededsupervisor_production120_v2_m1_eta0p496_seed15680003,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_v2_m1_eta0p496_seed15680003.csv
10,4,1,45680001,manual_opp_m2_14000,seededsupervisor_production120_v2_m4_eta0p496_seed45680001,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_v2_m4_eta0p496_seed45680001.csv
11,3,3,35680003,cem_tuned_qplite,seededsupervisor_production120_v2_m3_eta0p496_seed35680003,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_v2_m3_eta0p496_seed35680003.csv
12,4,2,45680002,manual_opp_m2_14000,seededsupervisor_production120_v2_m4_eta0p496_seed45680002,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_v2_m4_eta0p496_seed45680002.csv
13,4,3,45680003,manual_opp_m2_14000,seededsupervisor_production120_v2_m4_eta0p496_seed45680003,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_v2_m4_eta0p496_seed45680003.csv
14,4,4,45680004,manual_opp_m2_14000,seededsupervisor_production120_v2_m4_eta0p496_seed45680004,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_v2_m4_eta0p496_seed45680004.csv
15,1,4,15680004,cem_tuned_qplite,seededsupervisor_production120_v2_m1_eta0p496_seed15680004,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_v2_m1_eta0p496_seed15680004.csv
16,4,5,45680005,manual_opp_m2_14000,seededsupervisor_production120_v2_m4_eta0p496_seed45680005,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_v2_m4_eta0p496_seed45680005.csv
17,1,5,15680005,cem_tuned_qplite,seededsupervisor_production120_v2_m1_eta0p496_seed15680005,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_v2_m1_eta0p496_seed15680005.csv
18,4,6,45680006,manual_opp_m2_14000,seededsupervisor_production120_v2_m4_eta0p496_seed45680006,logs/qp_event_allocator_m4_eta0p496_seededsupervisor_production120_v2_m4_eta0p496_seed45680006.csv
19,2,5,25680005,pinv_bounded_wls,seededsupervisor_production120_v2_m2_eta0p496_seed25680005,logs/qp_event_allocator_m2_eta0p496_seededsupervisor_production120_v2_m2_eta0p496_seed25680005.csv
20,1,6,15680006,cem_tuned_qplite,seededsupervisor_production120_v2_m1_eta0p496_seed15680006,logs/qp_event_allocator_m1_eta0p496_seededsupervisor_production120_v2_m1_eta0p496_seed15680006.csv
21,3,4,35680004,cem_tuned_qplite,seededsupervisor_production120_v2_m3_eta0p496_seed35680004,logs/qp_event_allocator_m3_eta0p496_seededsupervisor_production120_v2_m3_eta0p496_seed35680004.csv
