row_index,firmware_timestamp_ms,firmware_active_mask,reference_active_mask,max_abs_pwm_difference,nominal_m1,firmware_m1,reference_m1,abs_difference_m1,nominal_m2,firmware_m2,reference_m2,abs_difference_m2,nominal_m3,firmware_m3,reference_m3,abs_difference_m3,nominal_m4,firmware_m4,reference_m4,abs_difference_m4
0,21610,1,1,0.0,32740.0,65535.0,65535.0,0.0,32740.0,32941.0,32941.0,0.0,32740.0,32538.0,32538.0,0.0,32740.0,32941.0,32941.0,0.0
1,21630,1,1,0.0,32753.0,65535.0,65535.0,0.0,32733.0,32945.0,32945.0,0.0,32753.0,32540.0,32540.0,0.0,32733.0,32945.0,32945.0,0.0
2,21651,1,1,0.0,32805.0,65535.0,65535.0,0.0,32697.0,32953.0,32953.0,0.0,32777.0,32520.0,32520.0,0.0,32697.0,32953.0,32953.0,0.0
3,21671,1,1,0.0,32868.0,65535.0,65535.0,0.0,32656.0,32966.0,32966.0,0.0,32802.0,32491.0,32491.0,0.0,32654.0,32964.0,32964.0,0.0
4,21690,1,1,0.0,33102.0,65535.0,65535.0,0.0,32430.0,32941.0,32941.0,0.0,33054.0,32542.0,32542.0,0.0,32398.0,32909.0,32909.0,0.0
5,21710,1,1,0.0,32998.0,65535.0,65535.0,0.0,32576.0,32998.0,32998.0,0.0,32896.0,32473.0,32473.0,0.0,32526.0,32948.0,32948.0,0.0
6,21730,1,1,0.0,33388.0,65535.0,65535.0,0.0,32170.0,32926.0,32926.0,0.0,33284.0,32527.0,32527.0,0.0,32162.0,32918.0,32918.0,0.0
7,21751,1,1,0.0,33601.0,65535.0,65535.0,0.0,32019.0,32958.0,32958.0,0.0,33459.0,32519.0,32519.0,0.0,31949.0,32888.0,32888.0,0.0
8,21771,1,1,0.0,33689.0,65535.0,65535.0,0.0,31891.0,32905.0,32905.0,0.0,33591.0,32576.0,32576.0,0.0,31873.0,32887.0,32887.0,0.0
9,21791,1,1,0.0,33326.0,65535.0,65535.0,0.0,32284.0,32987.0,32987.0,0.0,33178.0,32474.0,32474.0,0.0,32268.0,32971.0,32971.0,0.0
10,21810,1,1,0.0,34106.0,65535.0,65535.0,0.0,31548.0,32919.0,32919.0,0.0,33926.0,32554.0,32554.0,0.0,31472.0,32843.0,32843.0,0.0
11,21830,1,1,0.0,33476.0,65535.0,65535.0,0.0,32130.0,32961.0,32961.0,0.0,33332.0,32500.0,32500.0,0.0,32130.0,32961.0,32961.0,0.0
12,21851,1,1,0.0,34496.0,65535.0,65535.0,0.0,31204.0,32910.0,32910.0,0.0,34254.0,32547.0,32547.0,0.0,31130.0,32836.0,32836.0,0.0
13,21870,1,1,0.0,33711.0,65535.0,65535.0,0.0,31951.0,32984.0,32984.0,0.0,33511.0,32477.0,32477.0,0.0,31935.0,32968.0,32968.0,0.0
14,21890,1,1,0.0,33837.0,65535.0,65535.0,0.0,31865.0,33006.0,33006.0,0.0,33595.0,32453.0,32453.0,0.0,31827.0,32968.0,32968.0,0.0
15,21911,1,1,0.0,33976.0,65535.0,65535.0,0.0,31770.0,33030.0,33030.0,0.0,33690.0,32429.0,32429.0,0.0,31708.0,32968.0,32968.0,0.0
16,21931,1,1,0.0,34084.0,65535.0,65535.0,0.0,31634.0,32987.0,32987.0,0.0,33828.0,32474.0,32474.0,0.0,31626.0,32979.0,32979.0,0.0
17,21951,1,1,0.0,34237.0,65535.0,65535.0,0.0,31525.0,33009.0,33009.0,0.0,33933.0,32448.0,32448.0,0.0,31497.0,32981.0,32981.0,0.0
18,21971,1,1,0.0,34381.0,65535.0,65535.0,0.0,31407.0,33014.0,33014.0,0.0,34047.0,32439.0,32439.0,0.0,31381.0,32988.0,32988.0,0.0
19,21991,1,1,0.0,34520.0,65535.0,65535.0,0.0,31284.0,33010.0,33010.0,0.0,34164.0,32437.0,32437.0,0.0,31248.0,32974.0,32974.0,0.0
20,22013,1,1,0.0,36050.0,65535.0,65535.0,0.0,29784.0,32822.0,32822.0,0.0,35690.0,32651.0,32651.0,0.0,29732.0,32770.0,32770.0,0.0
21,22031,1,1,0.0,34824.0,65535.0,65535.0,0.0,31022.0,33009.0,33009.0,0.0,34448.0,32460.0,32460.0,0.0,30990.0,32977.0,32977.0,0.0
22,22051,1,1,0.0,35024.0,65535.0,65535.0,0.0,30860.0,33018.0,33018.0,0.0,34558.0,32399.0,32399.0,0.0,30870.0,33028.0,33028.0,0.0
23,22070,1,1,0.0,35184.0,65535.0,65535.0,0.0,30730.0,33025.0,33025.0,0.0,34716.0,32420.0,32420.0,0.0,30714.0,33009.0,33009.0,0.0
24,22091,1,1,0.0,35362.0,65535.0,65535.0,0.0,30574.0,33022.0,33022.0,0.0,34868.0,32419.0,32419.0,0.0,30568.0,33016.0,33016.0,0.0
25,22110,1,1,0.0,35550.0,65535.0,65535.0,0.0,30428.0,33037.0,33037.0,0.0,35048.0,32438.0,32438.0,0.0,30378.0,32987.0,32987.0,0.0
26,22130,1,1,0.0,35755.0,65535.0,65535.0,0.0,30253.0,33038.0,33038.0,0.0,35195.0,32409.0,32409.0,0.0,30225.0,33010.0,33010.0,0.0
27,22150,1,1,0.0,35947.0,65535.0,65535.0,0.0,30077.0,33026.0,33026.0,0.0,35367.0,32417.0,32417.0,0.0,30065.0,33014.0,33014.0,0.0
28,22170,1,1,0.0,36146.0,65535.0,65535.0,0.0,29900.0,33020.0,33020.0,0.0,35528.0,32407.0,32407.0,0.0,29882.0,33002.0,33002.0,0.0
29,22190,1,1,0.0,36341.0,65535.0,65535.0,0.0,29719.0,33006.0,33006.0,0.0,35705.0,32417.0,32417.0,0.0,29715.0,33002.0,33002.0,0.0
30,22211,1,1,0.0,36558.0,65535.0,65535.0,0.0,29514.0,32987.0,32987.0,0.0,35922.0,32448.0,32448.0,0.0,29522.0,32995.0,32995.0,0.0
31,22231,1,1,0.0,36786.0,65535.0,65535.0,0.0,29314.0,32983.0,32983.0,0.0,36122.0,32452.0,32452.0,0.0,29334.0,33003.0,33003.0,0.0
32,22251,1,1,0.0,37037.0,65535.0,65535.0,0.0,29145.0,33029.0,33029.0,0.0,36297.0,32412.0,32412.0,0.0,29133.0,33017.0,33017.0,0.0
33,22271,1,1,0.0,37304.0,65535.0,65535.0,0.0,28944.0,33057.0,33057.0,0.0,36452.0,32338.0,32338.0,0.0,28944.0,33057.0,33057.0,0.0
34,22291,1,1,0.0,39751.0,65535.0,65535.0,0.0,26479.0,32689.0,32689.0,0.0,38939.0,32728.0,32728.0,0.0,26507.0,32717.0,32717.0,0.0
35,22311,1,1,0.0,37755.0,65535.0,65535.0,0.0,28539.0,33038.0,33038.0,0.0,36887.0,32387.0,32387.0,0.0,28523.0,33022.0,33022.0,0.0
36,22331,1,1,0.0,38009.0,65535.0,65535.0,0.0,28293.0,33010.0,33010.0,0.0,37087.0,32369.0,32369.0,0.0,28343.0,33060.0,33060.0,0.0
37,22351,1,1,0.0,40667.0,65535.0,65535.0,0.0,25653.0,32648.0,32648.0,0.0,39749.0,32753.0,32753.0,0.0,25671.0,32666.0,32666.0,0.0
38,22371,1,1,0.0,38493.0,65535.0,65535.0,0.0,27863.0,32995.0,32995.0,0.0,37535.0,32402.0,32402.0,0.0,27885.0,33017.0,33017.0,0.0
39,22391,1,1,0.0,41327.0,65535.0,65535.0,0.0,25107.0,32668.0,32668.0,0.0,40287.0,32725.0,32725.0,0.0,25091.0,32652.0,32652.0,0.0
40,22411,1,1,0.0,41630.0,65535.0,65535.0,0.0,24800.0,32621.0,32621.0,0.0,40592.0,32770.0,32770.0,0.0,24830.0,32651.0,32651.0,0.0
41,22431,1,1,0.0,39298.0,65535.0,65535.0,0.0,27168.0,32990.0,32990.0,0.0,38218.0,32395.0,32395.0,0.0,27204.0,33026.0,33026.0,0.0
42,22451,1,1,0.0,42315.0,65535.0,65535.0,0.0,24227.0,32635.0,32635.0,0.0,41151.0,32742.0,32742.0,0.0,24227.0,32635.0,32635.0,0.0
43,22471,1,1,0.0,39850.0,65535.0,65535.0,0.0,26686.0,32981.0,32981.0,0.0,38702.0,32406.0,32406.0,0.0,26714.0,33009.0,33009.0,0.0
44,22491,1,1,0.0,42968.0,65535.0,65535.0,0.0,23608.0,32575.0,32575.0,0.0,41780.0,32812.0,32812.0,0.0,23640.0,32607.0,32607.0,0.0
45,22510,1,1,0.0,43358.0,65535.0,65535.0,0.0,23294.0,32596.0,32596.0,0.0,42052.0,32749.0,32749.0,0.0,23336.0,32638.0,32638.0,0.0
46,22530,1,1,0.0,40645.0,65535.0,65535.0,0.0,26027.0,33003.0,33003.0,0.0,39341.0,32364.0,32364.0,0.0,26067.0,33043.0,33043.0,0.0
47,22551,1,1,0.0,40919.0,65535.0,65535.0,0.0,25757.0,32968.0,32968.0,0.0,39639.0,32427.0,32427.0,0.0,25801.0,33012.0,33012.0,0.0
48,22572,1,1,0.0,44723.0,65535.0,65535.0,0.0,22027.0,32499.0,32499.0,0.0,43381.0,32908.0,32908.0,0.0,22033.0,32505.0,32505.0,0.0
49,22590,1,1,0.0,41585.0,65535.0,65535.0,0.0,25199.0,32981.0,32981.0,0.0,40157.0,32374.0,32374.0,0.0,25271.0,33053.0,33053.0,0.0
50,22610,1,1,0.0,41900.0,65535.0,65535.0,0.0,24944.0,32996.0,32996.0,0.0,40438.0,32385.0,32385.0,0.0,24978.0,33030.0,33030.0,0.0
51,22631,1,1,0.0,42217.0,65535.0,65535.0,0.0,24673.0,32997.0,32997.0,0.0,40729.0,32404.0,32404.0,0.0,24689.0,33013.0,33013.0,0.0
52,22651,1,1,0.0,42565.0,65535.0,65535.0,0.0,24375.0,32997.0,32997.0,0.0,41009.0,32386.0,32386.0,0.0,24411.0,33033.0,33033.0,0.0
53,22671,1,1,0.0,42892.0,65535.0,65535.0,0.0,24082.0,32984.0,32984.0,0.0,41316.0,32413.0,32413.0,0.0,24118.0,33020.0,33020.0,0.0
