host_time_s,firmware_timestamp_ms,phase,pinvAlloc.nom1,pinvAlloc.nom2,pinvAlloc.nom3,pinvAlloc.nom4,pinvAlloc.alloc1,pinvAlloc.alloc2,pinvAlloc.alloc3,pinvAlloc.alloc4,pinvAlloc.active
2.612808694015257,12109,settle,42865,42865,42865,42865,42865,42865,42865,42865,0
2.632769179006573,12129,settle,42980,42980,42980,42980,42980,42980,42980,42980,0
2.652841709990753,12149,settle,42888,42888,42888,42888,42888,42888,42888,42888,0
2.6728819840063807,12169,settle,41822,41822,41822,41822,41822,41822,41822,41822,0
2.692778608005028,12189,settle,41138,41138,41138,41138,41138,41138,41138,41138,0
2.712958640011493,12209,settle,39634,39634,39634,39634,39634,39634,39634,39634,0
2.732821701996727,12229,settle,37413,37413,37413,37413,37413,37413,37413,37413,0
2.752817992004566,12249,settle,36040,36040,36040,36040,36040,36040,36040,36040,0
2.7727617920027114,12269,settle,34829,34829,34829,34829,34829,34829,34829,34829,0
2.792845062998822,12289,settle,33763,33763,33763,33763,33763,33763,33763,33763,0
2.8134782499982975,12309,settle,32859,32859,32859,32859,32859,32859,32859,32859,0
2.832909715012647,12329,settle,32122,32122,32122,32122,32122,32122,32122,32122,0
2.8535227210086305,12349,settle,31544,31544,31544,31544,31544,31544,31544,31544,0
2.8733797399909236,12369,settle,31097,31097,31097,31097,31097,31097,31097,31097,0
2.8934825689939316,12389,settle,30782,30782,30782,30782,30782,30782,30782,30782,0
2.913517128996318,12409,settle,30567,30567,30567,30567,30567,30567,30567,30567,0
2.9335177630127873,12429,settle,30436,30436,30436,30436,30436,30436,30436,30436,0
2.9534595110162627,12449,settle,30394,30394,30394,30394,30394,30394,30394,30394,0
2.9735836350009777,12469,settle,30359,30359,30359,30359,30359,30359,30359,30359,0
2.993456822994631,12489,settle,30387,30387,30387,30387,30387,30387,30387,30387,0
3.014224792015739,12510,settle,30443,30443,30443,30443,30443,30443,30443,30443,0
3.0344369189988356,12530,settle,30531,30531,30531,30531,30531,30531,30531,30531,0
3.0543903929938097,12550,settle,30628,30628,30628,30628,30628,30628,30628,30628,0
3.0744274579919875,12570,settle,30700,30700,30700,30700,30700,30700,30700,30700,0
3.094501529005356,12590,settle,30793,30793,30793,30793,30793,30793,30793,30793,0
3.114470011991216,12610,settle,30881,30881,30881,30881,30881,30881,30881,30881,0
3.133869596000295,12630,settle,30989,30989,30989,30989,30989,30989,30989,30989,0
3.1538188779959455,12650,settle,31103,31103,31103,31103,31103,31103,31103,31103,0
3.1728704340057448,12669,settle,31135,31135,31135,31135,31135,31135,31135,31135,0
3.1928257330146153,12689,settle,31185,31185,31185,31185,31185,31185,31185,31185,0
3.2128026360005606,12709,settle,31251,31251,31251,31251,31251,31251,31251,31251,0
3.2328154559945688,12729,settle,31292,31292,31292,31292,31292,31292,31292,31292,0
3.252715036011068,12749,settle,31332,31332,31332,31332,31332,31332,31332,31332,0
3.2728091049939394,12769,settle,31371,31371,31371,31371,31371,31371,31371,31371,0
3.292858442000579,12789,settle,31433,31433,31433,31433,31433,31433,31433,31433,0
3.3129199130053166,12809,settle,31480,31480,31480,31480,31480,31480,31480,31480,0
3.3328172850015108,12829,settle,31521,31521,31521,31521,31521,31521,31521,31521,0
3.3529468110064045,12849,settle,31559,31559,31559,31559,31559,31559,31559,31559,0
3.3738798430131283,12870,settle,31546,31546,31546,31546,31546,31546,31546,31546,0
3.393872493004892,12890,settle,31588,31588,31588,31588,31588,31588,31588,31588,0
3.413817710999865,12910,settle,31628,31628,31628,31628,31628,31628,31628,31628,0
3.433807074005017,12930,settle,31702,31702,31702,31702,31702,31702,31702,31702,0
3.4538189900049474,12950,settle,31735,31735,31735,31735,31735,31735,31735,31735,0
