motor,eta,candidate,r1,r2,r3,r4,n,mean_predicted_vz,mean_corrected_vz,mean_loss
1,0.496,opp_m3_10000,0,0,10000,0,6,0.35200000000000004,0.35600000000000004,36.793600000000055
2,0.496,balanced_1000_0_1000_12000,1000,0,1000,12000,6,0.3473,0.3723,707.0232400000026
3,0.496,opp_m1_12000,12000,0,0,0,6,0.3476000000000001,0.3476000000000001,1.15782400000001
4,0.496,opp_m2_10000,0,10000,0,0,6,0.35200000000000004,0.359,88.22720000000014
1,0.4965,opp_m3_10000,0,0,10000,0,6,0.349,0.353,10.09552000000001
2,0.4965,balanced_1000_0_1000_12000,1000,0,1000,12000,6,0.3443,0.3693,427.28875200000175
3,0.4965,opp_m1_12000,12000,0,0,0,6,0.3446,0.3446,0.5532672000000001
4,0.4965,opp_m2_10000,0,10000,0,0,6,0.349,0.35600000000000004,34.34736000000005
1,0.497,opp_m3_10000,0,0,10000,0,6,0.3459999999999999,0.347,0.8682399999999971
2,0.497,balanced_1000_0_1000_12000,1000,0,1000,12000,6,0.3413,0.3473,1.5408440000000043
3,0.497,opp_m1_12000,12000,0,0,0,6,0.34159999999999996,0.34159999999999996,0.3377664
4,0.497,opp_m2_10000,0,10000,0,0,6,0.3459999999999999,0.347,0.9962799999999966
1,0.4975,opp_m3_10000,0,0,10000,0,6,0.34299999999999997,0.34299999999999997,0.34335999999999833
2,0.4975,balanced_1000_0_1000_12000,1000,0,1000,12000,6,0.3383,0.3383,0.31133599999999895
3,0.4975,opp_m1_12000,12000,0,0,0,6,0.3386,0.3386,0.2150016
4,0.4975,opp_m2_10000,0,10000,0,0,6,0.34299999999999997,0.34299999999999997,0.38391999999999804
1,0.498,opp_m3_10000,0,0,10000,0,6,0.34,0.34,0.21519999999999895
2,0.498,balanced_1000_0_1000_12000,1000,0,1000,12000,6,0.3353,0.3353,0.19993279999999944
3,0.498,opp_m1_12000,12000,0,0,0,6,0.33560000000000006,0.33560000000000006,0.16808447999999998
4,0.498,opp_m2_10000,0,10000,0,0,6,0.34,0.34,0.23439999999999872
