motor,eta,candidate,r1,r2,r3,r4,predicted_vz,corrected_vz,loss,config
1,0.496,opp_m3_10000,0,0,10000,0,0.352,0.356,36.793600000000055,baseline
1,0.496,opp_m3_10000,0,0,10000,0,0.352,0.356,36.793600000000055,baseline
1,0.496,opp_m3_10000,0,0,10000,0,0.352,0.356,36.793600000000055,baseline
1,0.496,opp_m3_10000,0,0,10000,0,0.352,0.356,36.793600000000055,baseline
1,0.496,opp_m3_10000,0,0,10000,0,0.352,0.356,36.793600000000055,baseline
1,0.496,opp_m3_10000,0,0,10000,0,0.352,0.356,36.793600000000055,baseline
2,0.496,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3473,0.3723,707.0232400000026,baseline
2,0.496,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3473,0.3723,707.0232400000026,baseline
2,0.496,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3473,0.3723,707.0232400000026,baseline
2,0.496,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3473,0.3723,707.0232400000026,baseline
2,0.496,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3473,0.3723,707.0232400000026,baseline
2,0.496,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3473,0.3723,707.0232400000026,baseline
3,0.496,opp_m1_12000,12000,0,0,0,0.3476,0.3476,1.15782400000001,baseline
3,0.496,opp_m1_12000,12000,0,0,0,0.3476,0.3476,1.15782400000001,baseline
3,0.496,opp_m1_12000,12000,0,0,0,0.3476,0.3476,1.15782400000001,baseline
3,0.496,opp_m1_12000,12000,0,0,0,0.3476,0.3476,1.15782400000001,baseline
3,0.496,opp_m1_12000,12000,0,0,0,0.3476,0.3476,1.15782400000001,baseline
3,0.496,opp_m1_12000,12000,0,0,0,0.3476,0.3476,1.15782400000001,baseline
4,0.496,opp_m2_10000,0,10000,0,0,0.352,0.359,88.22720000000014,baseline
4,0.496,opp_m2_10000,0,10000,0,0,0.352,0.359,88.22720000000014,baseline
4,0.496,opp_m2_10000,0,10000,0,0,0.352,0.359,88.22720000000014,baseline
4,0.496,opp_m2_10000,0,10000,0,0,0.352,0.359,88.22720000000014,baseline
4,0.496,opp_m2_10000,0,10000,0,0,0.352,0.359,88.22720000000014,baseline
4,0.496,opp_m2_10000,0,10000,0,0,0.352,0.359,88.22720000000014,baseline
1,0.4965,opp_m3_10000,0,0,10000,0,0.349,0.353,10.09552000000001,baseline
1,0.4965,opp_m3_10000,0,0,10000,0,0.349,0.353,10.09552000000001,baseline
1,0.4965,opp_m3_10000,0,0,10000,0,0.349,0.353,10.09552000000001,baseline
1,0.4965,opp_m3_10000,0,0,10000,0,0.349,0.353,10.09552000000001,baseline
1,0.4965,opp_m3_10000,0,0,10000,0,0.349,0.353,10.09552000000001,baseline
1,0.4965,opp_m3_10000,0,0,10000,0,0.349,0.353,10.09552000000001,baseline
2,0.4965,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3443,0.3693,427.28875200000175,baseline
2,0.4965,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3443,0.3693,427.28875200000175,baseline
2,0.4965,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3443,0.3693,427.28875200000175,baseline
2,0.4965,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3443,0.3693,427.28875200000175,baseline
2,0.4965,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3443,0.3693,427.28875200000175,baseline
2,0.4965,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3443,0.3693,427.28875200000175,baseline
3,0.4965,opp_m1_12000,12000,0,0,0,0.3446,0.3446,0.5532672000000001,baseline
3,0.4965,opp_m1_12000,12000,0,0,0,0.3446,0.3446,0.5532672000000001,baseline
3,0.4965,opp_m1_12000,12000,0,0,0,0.3446,0.3446,0.5532672000000001,baseline
3,0.4965,opp_m1_12000,12000,0,0,0,0.3446,0.3446,0.5532672000000001,baseline
3,0.4965,opp_m1_12000,12000,0,0,0,0.3446,0.3446,0.5532672000000001,baseline
3,0.4965,opp_m1_12000,12000,0,0,0,0.3446,0.3446,0.5532672000000001,baseline
4,0.4965,opp_m2_10000,0,10000,0,0,0.349,0.356,34.34736000000005,baseline
4,0.4965,opp_m2_10000,0,10000,0,0,0.349,0.356,34.34736000000005,baseline
4,0.4965,opp_m2_10000,0,10000,0,0,0.349,0.356,34.34736000000005,baseline
4,0.4965,opp_m2_10000,0,10000,0,0,0.349,0.356,34.34736000000005,baseline
4,0.4965,opp_m2_10000,0,10000,0,0,0.349,0.356,34.34736000000005,baseline
4,0.4965,opp_m2_10000,0,10000,0,0,0.349,0.356,34.34736000000005,baseline
1,0.497,opp_m3_10000,0,0,10000,0,0.346,0.347,0.8682399999999972,baseline
1,0.497,opp_m3_10000,0,0,10000,0,0.346,0.347,0.8682399999999972,baseline
1,0.497,opp_m3_10000,0,0,10000,0,0.346,0.347,0.8682399999999972,baseline
1,0.497,opp_m3_10000,0,0,10000,0,0.346,0.347,0.8682399999999972,baseline
1,0.497,opp_m3_10000,0,0,10000,0,0.346,0.347,0.8682399999999972,baseline
1,0.497,opp_m3_10000,0,0,10000,0,0.346,0.347,0.8682399999999972,baseline
2,0.497,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3413,0.3473,1.5408440000000043,baseline
2,0.497,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3413,0.3473,1.5408440000000043,baseline
2,0.497,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3413,0.3473,1.5408440000000043,baseline
2,0.497,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3413,0.3473,1.5408440000000043,baseline
2,0.497,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3413,0.3473,1.5408440000000043,baseline
2,0.497,balanced_1000_0_1000_12000,1000,0,1000,12000,0.3413,0.3473,1.5408440000000043,baseline
3,0.497,opp_m1_12000,12000,0,0,0,0.3416,0.3416,0.3377664,baseline
3,0.497,opp_m1_12000,12000,0,0,0,0.3416,0.3416,0.3377664,baseline
3,0.497,opp_m1_12000,12000,0,0,0,0.3416,0.3416,0.3377664,baseline
3,0.497,opp_m1_12000,12000,0,0,0,0.3416,0.3416,0.3377664,baseline
