motor,eta,candidate,r1,r2,r3,r4,n,mean_predicted_vz,mean_corrected_vz,mean_loss
1,0.496,opp_m3_12000,0,0,12000,0,6,0.3476000000000001,0.3516000000000001,6.357216000000151
2,0.496,balanced_3000_0_3000_12000,3000,0,3000,12000,6,0.3467,0.3717,670.4968400000032
3,0.496,opp_m1_13000,13000,0,0,0,6,0.34564999999999996,0.34564999999999996,0.7737139999999948
4,0.496,opp_m2_12000,0,12000,0,0,6,0.3476000000000001,0.3546,27.651872000000463
1,0.4965,opp_m3_12000,0,0,12000,0,6,0.3446,0.3486,1.7624448000000175
2,0.4965,balanced_3000_0_3000_12000,3000,0,3000,12000,6,0.34369999999999995,0.3687,401.97611200000205
3,0.4965,opp_m1_13000,13000,0,0,0,6,0.34264999999999995,0.34264999999999995,0.47624319999999704
4,0.4965,opp_m2_12000,0,12000,0,0,6,0.3446,0.3516000000000001,5.943001600000141
1,0.497,opp_m3_12000,0,0,12000,0,6,0.34159999999999996,0.3426,0.4869216
2,0.497,balanced_3000_0_3000_12000,3000,0,3000,12000,6,0.3407,0.3467,1.339404000000006
3,0.497,opp_m1_13000,13000,0,0,0,6,0.33964999999999995,0.33964999999999995,0.30309639999999827
4,0.497,opp_m2_12000,0,12000,0,0,6,0.34159999999999996,0.3426,0.5440752
1,0.4975,opp_m3_12000,0,0,12000,0,6,0.3386,0.3386,0.2505023999999999
2,0.4975,balanced_2500_0_2500_12000,2500,0,2500,12000,6,0.33785000000000004,0.33785000000000004,0.3043940000000009
3,0.4975,opp_m1_13000,13000,0,0,0,6,0.33664999999999995,0.33664999999999995,0.21145359999999916
4,0.4975,opp_m2_12000,0,12000,0,0,6,0.3386,0.3386,0.2682527999999999
1,0.498,opp_m3_12000,0,0,12000,0,6,0.33560000000000006,0.33560000000000006,0.18012671999999993
2,0.498,balanced_2000_0_2000_12000,2000,0,2000,12000,6,0.335,0.335,0.20000000000000007
3,0.498,opp_m1_12000,12000,0,0,0,6,0.33560000000000006,0.33560000000000006,0.16808447999999998
4,0.498,opp_m2_12000,0,12000,0,0,6,0.33560000000000006,0.33560000000000006,0.18614783999999993
