generation,generation_best_loss,elite_mean_loss,global_best_loss
0,57.29745659200017,59.09332806183363,57.29745659200017
1,56.76138114200045,57.17729637833361,56.76138114200045
2,55.99476823200028,55.99760810700028,55.99476823200028
3,55.993995132000265,55.99442615533363,55.993995132000265
4,55.994073392000324,55.99409474366697,55.993995132000265
5,55.993995132000265,55.994060348666984,55.993995132000265
6,55.993995132000265,55.994047305333645,55.993995132000265
7,55.993995132000265,55.99402121866695,55.993995132000265
8,55.993995132000265,55.99399513200026,55.993995132000265
9,55.993995132000265,55.99399513200026,55.993995132000265
10,55.993995132000265,55.99399513200026,55.993995132000265
11,55.993995132000265,55.99399513200026,55.993995132000265
