motor,eta,boost,n,mean_vz,std_vz,min_vz,max_vz,mean_drift,safe_count
1,0.496,10000,3,0.3556027313073476,0.00401645239630652,0.3509853780269623,0.3582881391048431,0.24931899678102362,0
1,0.497,10000,3,0.32145911455154413,0.002838000860905827,0.3188323080539703,0.3244693279266357,0.253516747410841,3
1,0.498,10000,3,0.2818325658639272,0.008663337639345625,0.2722896039485931,0.2892025709152221,0.2555706561202422,3
2,0.496,10000,3,0.39315985639890033,0.007420147797715933,0.3852894008159637,0.4000277519226074,0.2760717778727542,0
2,0.497,10000,3,0.3587216734886169,0.004678264431609863,0.3549682796001434,0.3639629185199737,0.27844598296738177,0
2,0.498,10000,3,0.31582058469454444,0.010392695357668577,0.3079740405082702,0.3276071846485138,0.2695751410989937,3
3,0.496,10000,3,0.36101985971132916,0.007057368553055698,0.3542366921901703,0.3683227002620697,0.2628973694415964,0
3,0.497,10000,3,0.3195114135742187,0.006891803190431546,0.3120276033878326,0.3255966901779175,0.25936886201902626,3
3,0.498,10000,3,0.2844066023826599,0.006424926027036267,0.2782380878925323,0.2910604178905487,0.25660498758926975,3
4,0.496,10000,3,0.3760947684446971,0.003222266887915987,0.3726981878280639,0.3791085183620453,0.26867476169056276,0
4,0.497,10000,3,0.33374040325482685,0.011168341069767973,0.3208701610565185,0.340882271528244,0.26549077723340114,3
4,0.498,10000,3,0.2984197835127512,0.004060934312841507,0.2958925366401672,0.3031040728092193,0.2754308603527458,3
