pattern,motor,eta,boost,r1,r2,r3,r4,rep,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,safe_touchdown,file
r1r3_light_r4_heavy,2,0.497,0,2000,0,2000,12000,1,0.3474203944206238,0.010693512004434113,0.0729009136557579,0.004771506452066952,0.32682792503684654,True,motorloss_ftcboost_m2_eta0p497_b0_r2000_0_2000_12000_r1r3_light_r4_heavy_repeat_rep1.csv
r1r3_light_r4_heavy,2,0.497,0,2000,0,2000,12000,2,0.3434526026248932,0.010199651306395552,0.0950844213366508,0.004786609992476595,0.3356099448484463,True,motorloss_ftcboost_m2_eta0p497_b0_r2000_0_2000_12000_r1r3_light_r4_heavy_repeat_rep2.csv
r1r3_light_r4_heavy,2,0.497,0,2000,0,2000,12000,3,0.3413127958774566,0.009883606244431001,0.0833050161600112,0.004392808757965933,0.3266280989034449,True,motorloss_ftcboost_m2_eta0p497_b0_r2000_0_2000_12000_r1r3_light_r4_heavy_repeat_rep3.csv
r3_light_r4_heavy,2,0.497,0,0,0,2000,12000,1,0.9007387757301332,0.03558682864702768,0.7748934030532837,0.0943569966953593,0.5182121809569237,False,motorloss_ftcboost_m2_eta0p497_b0_r0_0_2000_12000_r3_light_r4_heavy_repeat_rep1.csv
r3_light_r4_heavy,2,0.497,0,0,0,2000,12000,2,0.3442957699298858,0.0077047658749355595,0.1279430836439132,0.0014811489807846246,0.36140299773676127,True,motorloss_ftcboost_m2_eta0p497_b0_r0_0_2000_12000_r3_light_r4_heavy_repeat_rep2.csv
r3_light_r4_heavy,2,0.497,0,0,0,2000,12000,3,0.3448258340358734,0.009716572419198571,0.0599771961569786,0.002614404116314007,0.32087392840871104,True,motorloss_ftcboost_m2_eta0p497_b0_r0_0_2000_12000_r3_light_r4_heavy_repeat_rep3.csv
r4dom_3000_9000_3000,2,0.497,0,3000,0,3000,9000,1,0.3366715610027313,0.007933008415695815,0.0907631441950798,0.010178890464859695,0.2554602416588846,True,motorloss_ftcboost_m2_eta0p497_b0_r3000_0_3000_9000_r4dom_3000_9000_3000_repeat_rep1.csv
r4dom_3000_9000_3000,2,0.497,0,3000,0,3000,9000,2,0.2299263179302215,0.013207000637216755,0.4935699999332428,0.006566774306176725,0.4692152497592282,True,motorloss_ftcboost_m2_eta0p497_b0_r3000_0_3000_9000_r4dom_3000_9000_3000_repeat_rep2.csv
r4dom_3000_9000_3000,2,0.497,0,3000,0,3000,9000,3,0.3338404595851898,0.007458990613333497,0.091702714562416,0.008885815216344224,0.24946028768535242,True,motorloss_ftcboost_m2_eta0p497_b0_r3000_0_3000_9000_r4dom_3000_9000_3000_repeat_rep3.csv
r4dom_5000_11000_5000,2,0.497,0,5000,0,5000,11000,1,0.3406984508037567,0.009511482594395305,0.0672768205404281,0.008784354074578067,0.3029201407179664,True,motorloss_ftcboost_m2_eta0p497_b0_r5000_0_5000_11000_r4dom_5000_11000_5000_repeat_rep1.csv
r4dom_5000_11000_5000,2,0.497,0,5000,0,5000,11000,2,0.3431659340858459,0.009599308561432497,0.0593303814530372,0.008698882419152641,0.2961247791745679,True,motorloss_ftcboost_m2_eta0p497_b0_r5000_0_5000_11000_r4dom_5000_11000_5000_repeat_rep2.csv
r4dom_5000_11000_5000,2,0.497,0,5000,0,5000,11000,3,0.3884276151657104,0.0146440765598296,0.0815292298793792,0.009391856481832899,0.2818040556855555,False,motorloss_ftcboost_m2_eta0p497_b0_r5000_0_5000_11000_r4dom_5000_11000_5000_repeat_rep3.csv
r4only_10000,2,0.497,0,0,0,0,10000,1,0.3439022302627563,0.009796462392171645,0.0702632367610931,0.01969475508652141,0.2665808289706244,True,motorloss_ftcboost_m2_eta0p497_b0_r0_0_0_10000_r4only_10000_repeat_rep1.csv
r4only_10000,2,0.497,0,0,0,0,10000,2,0.3247694373130798,0.00860673395658488,0.1083448827266693,0.01730952866418721,0.27638070661885816,True,motorloss_ftcboost_m2_eta0p497_b0_r0_0_0_10000_r4only_10000_repeat_rep2.csv
r4only_10000,2,0.497,0,0,0,0,10000,3,0.3371513187885284,0.009416241819999165,0.0743632018566131,0.01842645741002892,0.2717241953309618,True,motorloss_ftcboost_m2_eta0p497_b0_r0_0_0_10000_r4only_10000_repeat_rep3.csv
