pattern,motor,eta,boost,r1,r2,r3,r4,rep,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,safe_touchdown,file
r1dom_2000_9000_2000,3,0.497,0,9000,2000,0,2000,1,0.3340117931365967,0.009457249551131641,0.2156384885311126,0.03114325671891359,0.2566447792620684,True,motorloss_ftcboost_m3_eta0p497_b0_r9000_2000_0_2000_r1dom_2000_9000_2000_rep1.csv
r1dom_2000_9000_2000,3,0.497,0,9000,2000,0,2000,2,0.3469737470149994,0.009295651283489545,0.1604997813701629,0.0324643697773302,0.24998486730926042,True,motorloss_ftcboost_m3_eta0p497_b0_r9000_2000_0_2000_r1dom_2000_9000_2000_rep2.csv
r1dom_2000_9000_2000,3,0.497,0,9000,2000,0,2000,3,0.3552536964416504,0.007792318624675037,0.0952394679188728,0.034921532691000665,0.23104661076509228,False,motorloss_ftcboost_m3_eta0p497_b0_r9000_2000_0_2000_r1dom_2000_9000_2000_rep3.csv
r1dom_3000_10000_3000,3,0.497,0,10000,3000,0,3000,1,0.3347726166248321,0.00785206153037706,0.0978920012712478,0.03029234824978958,0.24595322350082588,True,motorloss_ftcboost_m3_eta0p497_b0_r10000_3000_0_3000_r1dom_3000_10000_3000_rep1.csv
r1dom_3000_10000_3000,3,0.497,0,10000,3000,0,3000,2,0.3263584673404693,0.009432763193081253,0.1635137349367141,0.030170466137265026,0.26283698316621384,True,motorloss_ftcboost_m3_eta0p497_b0_r10000_3000_0_3000_r1dom_3000_10000_3000_rep2.csv
r1dom_3000_10000_3000,3,0.497,0,10000,3000,0,3000,3,0.3291890621185303,0.01039249530006963,0.1594719290733337,0.031020998143382623,0.26035304733719083,True,motorloss_ftcboost_m3_eta0p497_b0_r10000_3000_0_3000_r1dom_3000_10000_3000_rep3.csv
r1dom_4000_11000_4000,3,0.497,0,11000,4000,0,4000,1,0.3300377428531647,0.013140585369505646,0.0617940537631511,0.03134345456236823,0.27490607950534557,True,motorloss_ftcboost_m3_eta0p497_b0_r11000_4000_0_4000_r1dom_4000_11000_4000_rep1.csv
r1dom_4000_11000_4000,3,0.497,0,11000,4000,0,4000,2,0.3201322555541992,0.013367201845981044,0.0957844406366348,0.030255984529292713,0.2819503239811228,True,motorloss_ftcboost_m3_eta0p497_b0_r11000_4000_0_4000_r1dom_4000_11000_4000_rep2.csv
r1dom_4000_11000_4000,3,0.497,0,11000,4000,0,4000,3,0.304684579372406,0.012162136650248375,0.0901844277977943,0.027658145123878913,0.2792361118165693,True,motorloss_ftcboost_m3_eta0p497_b0_r11000_4000_0_4000_r1dom_4000_11000_4000_rep3.csv
r1dom_5000_12000_5000,3,0.497,0,12000,5000,0,5000,1,0.3186052143573761,0.016077450778085194,0.0364116095006465,0.015019496856994052,0.29527199177780533,True,motorloss_ftcboost_m3_eta0p497_b0_r12000_5000_0_5000_r1dom_5000_12000_5000_rep1.csv
r1dom_5000_12000_5000,3,0.497,0,12000,5000,0,5000,2,0.3055009841918945,0.0180628635514564,0.0562906265258789,0.015289250167314793,0.31537905033640207,True,motorloss_ftcboost_m3_eta0p497_b0_r12000_5000_0_5000_r1dom_5000_12000_5000_rep2.csv
r1dom_5000_12000_5000,3,0.497,0,12000,5000,0,5000,3,0.3104828894138336,0.017154130686102415,0.0513266175985336,0.013889924641746165,0.3157987757373484,True,motorloss_ftcboost_m3_eta0p497_b0_r12000_5000_0_5000_r1dom_5000_12000_5000_rep3.csv
r1only_10000,3,0.497,0,10000,0,0,0,1,0.3425762355327606,0.00924170127073957,0.0905737057328224,0.027138277026232772,0.2434368670302257,True,motorloss_ftcboost_m3_eta0p497_b0_r10000_0_0_0_r1only_10000_rep1.csv
r1only_10000,3,0.497,0,10000,0,0,0,2,0.332418143749237,0.009213734280414774,0.1257116347551345,0.025940936785922623,0.2550889751923249,True,motorloss_ftcboost_m3_eta0p497_b0_r10000_0_0_0_r1only_10000_rep2.csv
r1only_10000,3,0.497,0,10000,0,0,0,3,0.3419117629528045,0.011319423037978275,0.1130012199282646,0.026614195413192304,0.25327044205216015,True,motorloss_ftcboost_m3_eta0p497_b0_r10000_0_0_0_r1only_10000_rep3.csv
r1only_11000,3,0.497,0,11000,0,0,0,1,0.3142395615577698,0.011777084833299978,0.1163444072008133,0.02329878620039565,0.27113412714945906,True,motorloss_ftcboost_m3_eta0p497_b0_r11000_0_0_0_r1only_11000_rep1.csv
r1only_11000,3,0.497,0,11000,0,0,0,2,0.3287066519260406,0.012678747174963525,0.104298211634159,0.023603591174667222,0.27504614613495804,True,motorloss_ftcboost_m3_eta0p497_b0_r11000_0_0_0_r1only_11000_rep2.csv
r1only_11000,3,0.497,0,11000,0,0,0,3,0.3237995207309723,0.011789567724568193,0.0775807946920394,0.02277600771644568,0.2674349438880476,True,motorloss_ftcboost_m3_eta0p497_b0_r11000_0_0_0_r1only_11000_rep3.csv
r1only_12000,3,0.497,0,12000,0,0,0,1,0.3164736628532409,0.01605548971631499,0.0819446668028831,0.021174187711581315,0.29044936198678883,True,motorloss_ftcboost_m3_eta0p497_b0_r12000_0_0_0_r1only_12000_rep1.csv
r1only_12000,3,0.497,0,12000,0,0,0,2,0.3130431771278381,0.01627758704879257,0.0669731274247169,0.020156170418640682,0.2946827092570173,True,motorloss_ftcboost_m3_eta0p497_b0_r12000_0_0_0_r1only_12000_rep2.csv
r1only_12000,3,0.497,0,12000,0,0,0,3,0.3163794875144958,0.016257653111755935,0.0622058659791946,0.02135898918504158,0.2953365488388174,True,motorloss_ftcboost_m3_eta0p497_b0_r12000_0_0_0_r1only_12000_rep3.csv
r1only_9000,3,0.497,0,9000,0,0,0,1,0.3590508997440338,0.009955007907864124,0.1339536160230636,0.029096219851931348,0.23760889359620807,False,motorloss_ftcboost_m3_eta0p497_b0_r9000_0_0_0_r1only_9000_rep1.csv
r1only_9000,3,0.497,0,9000,0,0,0,2,0.3603138923645019,0.009767111576866008,0.1232860162854194,0.03014439533642178,0.23165798596165393,False,motorloss_ftcboost_m3_eta0p497_b0_r9000_0_0_0_r1only_9000_rep2.csv
