motor,eta,boost,r1,r2,r3,r4,rep,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,safe_touchdown,file
1,0.497,0,0,0,10000,0,1,0.3021765649318695,0.01729104928266059,0.2587108314037323,0.023291827822556364,0.3038745966977059,True,motorloss_ftcboost_m1_eta0p497_b0_r0_0_10000_0_tuned_eta0p497_rep1.csv
1,0.497,0,0,0,10000,0,2,0.3155575394630432,0.01102521248319279,0.162489041686058,0.024494486817938286,0.27021129268740324,True,motorloss_ftcboost_m1_eta0p497_b0_r0_0_10000_0_tuned_eta0p497_rep2.csv
1,0.497,0,0,0,10000,0,3,0.3516586124897003,0.008317257781628881,0.0635660365223884,0.026500129682397552,0.2327781443994479,False,motorloss_ftcboost_m1_eta0p497_b0_r0_0_10000_0_tuned_eta0p497_rep3.csv
2,0.497,0,0,0,0,10000,1,0.3263517916202545,0.009094020651033867,0.1100213229656219,0.018288897888320693,0.27788623759085185,True,motorloss_ftcboost_m2_eta0p497_b0_r0_0_0_10000_tuned_eta0p497_rep1.csv
2,0.497,0,0,0,0,10000,2,0.3268670439720154,0.00864448310648477,0.095896765589714,0.018427122892776333,0.27280078375332556,True,motorloss_ftcboost_m2_eta0p497_b0_r0_0_0_10000_tuned_eta0p497_rep2.csv
2,0.497,0,0,0,0,10000,3,0.3276684582233429,0.00888724323524117,0.1094669550657272,0.018367098955600306,0.27768311252985395,True,motorloss_ftcboost_m2_eta0p497_b0_r0_0_0_10000_tuned_eta0p497_rep3.csv
3,0.497,0,12000,0,0,0,1,0.3094040751457214,0.01817905766147016,0.0471864528954029,0.01899661275989362,0.3143861528268899,True,motorloss_ftcboost_m3_eta0p497_b0_r12000_0_0_0_tuned_eta0p497_rep1.csv
3,0.497,0,12000,0,0,0,2,0.3171490430831909,0.018329801932627607,0.0487425364553928,0.019347659494513877,0.309677972420385,True,motorloss_ftcboost_m3_eta0p497_b0_r12000_0_0_0_tuned_eta0p497_rep2.csv
3,0.497,0,12000,0,0,0,3,0.316077321767807,0.018235583504587222,0.0401187315583229,0.020156117274557347,0.31184242850698507,True,motorloss_ftcboost_m3_eta0p497_b0_r12000_0_0_0_tuned_eta0p497_rep3.csv
4,0.497,0,0,10000,0,0,1,0.3292190432548523,0.010570260655581256,0.0695640593767166,0.02175286824288511,0.2668793914900941,True,motorloss_ftcboost_m4_eta0p497_b0_r0_10000_0_0_tuned_eta0p497_rep1.csv
4,0.497,0,0,10000,0,0,2,0.3746290802955627,0.014991274025709206,0.144737422466278,0.021911313827623964,0.24175249342143285,False,motorloss_ftcboost_m4_eta0p497_b0_r0_10000_0_0_tuned_eta0p497_rep2.csv
4,0.497,0,0,10000,0,0,3,0.2928067445755005,0.0101043204392998,0.1808765232563018,0.02037970259654261,0.3031435180605309,True,motorloss_ftcboost_m4_eta0p497_b0_r0_10000_0_0_tuned_eta0p497_rep3.csv
