controller,motor,eta,candidate,r1,r2,r3,r4,rep,qp_predicted_vz,vertical_speed_mps,horizontal_speed_mps,max_tilt_deg,angular_rate_radps,horizontal_drift_m,safe_touchdown,file
manual_motor2_m4only13000_retest,2,0.496,m4only_13000_retest,0,0,0,13000,1,0.3474,0.3668073713779449,0.014147204328970762,0.100721575319767,0.01289328230913904,0.37156461640280686,False,qp_event_allocator_m2_eta0p496_m2_m4only13000_retest_rep1.csv
manual_motor2_m4only13000_retest,2,0.496,m4only_13000_retest,0,0,0,13000,2,0.3474,0.3762766718864441,0.015034180414561525,0.0486091114580631,0.014048345468089385,0.34727658469487627,False,qp_event_allocator_m2_eta0p496_m2_m4only13000_retest_rep2.csv
manual_motor2_m4only13000_retest,2,0.496,m4only_13000_retest,0,0,0,13000,3,0.3474,0.3773818612098694,0.013566414034056154,0.0804806947708129,0.012871922334461546,0.3601943330737505,False,qp_event_allocator_m2_eta0p496_m2_m4only13000_retest_rep3.csv
manual_motor2_m4only13000_retest,2,0.496,m4only_13000_retest,0,0,0,13000,4,0.3474,0.3649287521839142,0.013916676512379919,0.0518844500184059,0.015124516096644624,0.32902713816625545,False,qp_event_allocator_m2_eta0p496_m2_m4only13000_retest_rep4.csv
manual_motor2_m4only13000_retest,2,0.496,m4only_13000_retest,0,0,0,13000,5,0.3474,0.3799623250961303,0.016023226567582212,0.0656614899635315,0.014166585257519248,0.3562331885389222,False,qp_event_allocator_m2_eta0p496_m2_m4only13000_retest_rep5.csv
manual_motor2_m4only13000_retest,2,0.496,m4only_13000_retest,0,0,0,13000,6,0.3474,0.3736401200294494,0.013969025416661241,0.0462999232113361,0.012865071048052202,0.3471500567153856,False,qp_event_allocator_m2_eta0p496_m2_m4only13000_retest_rep6.csv
manual_motor2_m4only13000_retest,2,0.496,m4only_13000_retest,0,0,0,13000,7,0.3474,0.3751432597637176,0.015566684161267096,0.083311878144741,0.014053502289530034,0.36619068870482874,False,qp_event_allocator_m2_eta0p496_m2_m4only13000_retest_rep7.csv
manual_motor2_m4only13000_retest,2,0.496,m4only_13000_retest,0,0,0,13000,8,0.3474,0.3720760643482208,0.013808873223855139,0.0529318042099475,0.012959498114568589,0.34930848435422907,False,qp_event_allocator_m2_eta0p496_m2_m4only13000_retest_rep8.csv
manual_motor2_m4only13000_retest,2,0.496,m4only_13000_retest,0,0,0,13000,9,0.3474,0.3741680085659027,0.014416273282494844,0.0729978084564209,0.013319224218196035,0.35888063776036727,False,qp_event_allocator_m2_eta0p496_m2_m4only13000_retest_rep9.csv
manual_motor2_m4only13000_retest,2,0.496,m4only_13000_retest,0,0,0,13000,10,0.3474,0.3722065091133117,0.015869613777816278,0.0828740075230598,0.014157388037210478,0.3627900932759751,False,qp_event_allocator_m2_eta0p496_m2_m4only13000_retest_rep10.csv
