controller,eta,candidate,r1,r2,r3,r4,n,safe_count,mean_vz,std_vz,min_vz,max_vz,mean_drift,max_drift
cem,0.49,balanced_3000_0_3000_12000,3000,0,3000,12000,12,0,0.5042873720328013,0.007641621969816334,0.4923910498619079,0.5187604427337646,0.3128101897815883,0.3378416873381485
cem,0.492,balanced_3000_0_3000_12000,3000,0,3000,12000,12,0,0.45876282701889676,0.01221908244741315,0.4417469799518585,0.4859236478805542,0.3095088036870714,0.3480340341904069
cem,0.494,balanced_3000_0_3000_12000,3000,0,3000,12000,12,0,0.41374829908212024,0.009555111597912943,0.3962062895298004,0.4252011775970459,0.3043531936256887,0.3244838290760728
cem,0.496,balanced_3000_0_3000_12000,3000,0,3000,12000,12,3,0.3607768143216769,0.010464500274265731,0.345426082611084,0.3816586136817932,0.3271749623090095,0.3533987852964723
cem,0.498,balanced_2000_0_2000_12000,2000,0,2000,12000,12,12,0.2954530889789263,0.006709492754793943,0.2784270346164703,0.3029830455780029,0.32684187523529634,0.3861746812161399
cem,0.5,balanced_3000_0_3000_12000,3000,0,3000,12000,1,1,0.0,,0.0,0.0,0.0,0.0
cem,0.5,opp_m4_10000,0,0,0,10000,11,11,0.1923495382070541,0.01087862891729209,0.1723289638757705,0.2089118361473083,0.2635387659276562,0.2851694817985587
qplite,0.49,balanced_2000_0_2000_12000,2000,0,2000,12000,12,0,0.5007768049836159,0.008405520253498147,0.4882689416408539,0.5133843421936035,0.31272320828104777,0.3455200023694598
qplite,0.492,balanced_2000_0_2000_12000,2000,0,2000,12000,12,0,0.4507241820295651,0.008011387826822007,0.431918054819107,0.4597532153129577,0.31243707197630344,0.3513226801830803
qplite,0.494,balanced_2000_0_2000_12000,2000,0,2000,12000,12,0,0.40507972488800686,0.008343285153463536,0.394151359796524,0.4206805527210235,0.3100371602131243,0.3376405029687899
qplite,0.496,balanced_1000_0_1000_12000,1000,0,1000,12000,12,7,0.3514702245593071,0.005690015852118318,0.3442340493202209,0.3614620566368103,0.3331695096913481,0.3676890458437281
qplite,0.498,balanced_1000_0_1000_12000,1000,0,1000,12000,12,12,0.2926243667801221,0.010422409346011576,0.2778870463371277,0.311734527349472,0.32247769463298986,0.375900978468303
qplite,0.5,balanced_1000_0_1000_12000,1000,0,1000,12000,12,12,0.21559368570645646,0.008833013135913592,0.2027674615383148,0.2278384715318679,0.32852805749614494,0.3531516224672399
