motor,eta,residual,n,contact_count,safe_count,mean_vz,std_vz,min_vz,max_vz,mean_fault_to_contact_s,std_fault_to_contact_s,mean_hspeed,max_hspeed,mean_tilt,max_tilt,mean_drift,max_drift,safe_rate,safe_rate_ci_low,safe_rate_ci_high
1,0.496,8000,30,30,0,0.40171079337596893,0.00811030466980561,0.3806225657463074,0.4152010381221771,2.468938485781351,0.033611365364145926,0.01351234259475757,0.014595623137655106,0.12853284304340676,0.195848748087883,0.22471565461816143,0.25675484118069586,0.0,0.0,0.1135133931739688
1,0.496,9000,30,30,0,0.3840435524781545,0.007851023397343867,0.364176481962204,0.403497040271759,2.6152482112248734,0.03762670286471649,0.015208002569065095,0.01747216191962528,0.1288498664895693,0.2813811004161834,0.23584576565358564,0.2735902049117623,0.0,0.0,0.1135133931739688
1,0.496,10000,30,30,2,0.36177309751510617,0.009920484843157733,0.3270373940467834,0.3817570507526397,2.7437717517217,0.05407947278409241,0.0179259852625465,0.021594716352722275,0.13871538974344727,0.2033318728208542,0.2585808454220705,0.2852839675919676,0.06666666666666667,0.018477023791270378,0.21323458362616926
1,0.496,11000,30,30,13,0.3474669645229975,0.021429422993944035,0.2469284236431121,0.3857806622982025,2.8933931748072306,0.1292817642568029,0.01950972402165701,0.024172265375059548,0.13731544141968088,0.299441933631897,0.27921800689755305,0.3508926885899741,0.43333333333333335,0.2737748557646652,0.608026929991864
1,0.496,12000,30,30,28,0.3355223764975866,0.01117686126088054,0.3096363544464111,0.3726537823677063,3.102061494191488,0.05243021642312906,0.020033197944086593,0.04100511286387381,0.17616685380538302,0.5353489518165588,0.30047727691089954,0.3940452533995103,0.9333333333333333,0.7867654163738307,0.9815229762087296
1,0.496,13000,30,30,30,0.3259700804948807,0.007706613230948966,0.3055771589279175,0.3408433496952057,3.3445534070332843,0.06413648411443335,0.022758137280129216,0.02492101331491857,0.10538509798546628,0.1638777405023574,0.3284796725495992,0.3544407967169097,1.0,0.8864866068260311,1.0
1,0.496,14000,30,30,29,0.3273164143164953,0.015117475172018637,0.2752869725227356,0.3656321167945862,3.6144041538238527,0.15401706958536718,0.025510310759674904,0.030272405528248135,0.07377936188131566,0.2552653849124908,0.35900851044814036,0.400200205640443,0.9666666666666667,0.8332960900859081,0.9940914096183875
4,0.496,8000,30,30,0,0.38873880604902905,0.008106911550932351,0.3713074624538421,0.4021481871604919,2.8112252871195476,0.04668070737705797,0.007337751642199827,0.009289000118904302,0.12512470980485277,0.1914779394865036,0.21986916331302078,0.24918519532537126,0.0,0.0,0.1135133931739688
4,0.496,9000,30,30,1,0.3751547912756602,0.010909840029898667,0.3459474742412567,0.3949593901634216,2.946702591578166,0.0700652772160764,0.00968841409762977,0.012466527228768946,0.1164977233856916,0.2050469517707824,0.24037257496207215,0.2863782631378426,0.03333333333333333,0.005908590381612455,0.16670390991409176
4,0.496,10000,30,30,4,0.35910855829715727,0.008751356875181476,0.3384875357151031,0.3896078765392303,3.1241413434346517,0.05866186800945873,0.012698151247943538,0.01358435081278138,0.10760888544221715,0.1547321528196334,0.2625951426560679,0.2947987435198046,0.13333333333333333,0.05309655484054743,0.296813266820363
4,0.496,11000,30,30,14,0.34966462254524233,0.008608722902052219,0.3272185027599334,0.362228512763977,3.320943530400594,0.06509835896661681,0.01696890076620429,0.018407020973135117,0.06202971426149205,0.1066198647022247,0.28761472183935494,0.3326234688643351,0.4666666666666667,0.30232388907699753,0.638577003801267
4,0.496,12000,30,30,24,0.33739815652370453,0.016584611756961916,0.2651688158512115,0.3570695221424103,3.656365871429443,0.3717994431721069,0.01989308188628549,0.021675780502723428,0.07950515511135257,0.4905815720558166,0.32791580897702644,0.48841707703025233,0.8,0.6269430358685175,0.9049489282271013
4,0.496,13000,30,30,25,0.3423204362392426,0.01082215855354691,0.32124063372612,0.3748067319393158,3.837112824122111,0.10276387771030249,0.020213129906955764,0.023668157439675794,0.09954228394975259,0.1871844679117202,0.34164504165056964,0.3814313583681908,0.8333333333333334,0.6643564949358397,0.9266345762815146
4,0.496,14000,30,30,27,0.3393790781497955,0.009465263162842368,0.3100263476371765,0.3575131893157959,4.131754302978516,0.09970558813826699,0.019154550613995756,0.020483781316713398,0.1277135533591111,0.1859456151723861,0.37982208680255364,0.4164815659904058,0.9,0.7437891742081592,0.9654001112526659
